ID,Intracellular Robustness,Extracellular Robustness,Topological Robustness,Total Robustness
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0.005029721,0.142857143,0.4,0.000287413
13,0.009602195,0.197278912,0.466666667,0.000884012
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0.001371742,0.142857143,0.6,0.000117578
43,0.002286237,0.142857143,0.666666667,0.000217737
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0.000457247,0.142857143,0.5,3.27E-05
60,0,0,0,0
61,0,0,0,0
62,0.024691358,0.343915344,0.714285714,0.006065526
63,0,0,0,0
64,0.023776863,0.269230769,0.714285714,0.004572474
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0.014631916,0.339285714,0.714285714,0.003546
77,0.014631916,0.299107143,0.714285714,0.003126079
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0.000457247,0.285714286,0.466666667,6.10E-05
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
