ID,Intracellular Robustness,Extracellular Robustness,Topological Robustness,Total Robustness
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0.000457247,0.142857143,0.666666667,4.35E-05
13,0.001828989,0.142857143,0.6,0.00015677
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0.000914495,0.142857143,0.666666667,8.71E-05
43,0.001371742,0.142857143,0.533333333,0.000104514
44,0,0,0,0
45,0.001371742,0.142857143,0.6,0.000117578
46,0.000457247,0.142857143,0.6,3.92E-05
47,0,0,0,0
48,0.000914495,0.142857143,0.6,7.84E-05
49,0.000457247,0.142857143,0.6,3.92E-05
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0.004115226,0.317460317,0.714285714,0.000933158
60,0,0,0,0
61,0.004115226,0.26984127,0.714285714,0.000793184
62,0.003200732,0.326530612,0.714285714,0.000746526
63,0,0,0,0
64,0.003657979,0.267857143,0.714285714,0.000699868
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0.003657979,0.232142857,0.714285714,0.000606553
77,0.003200732,0.244897959,0.714285714,0.000559895
78,0,0,0,0
79,0.003200732,0.265306122,0.714285714,0.000606553
