config_name,config_id,dU,dV,dW,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_LHS_1754_Type1_Control,0,1.0,1.0,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_LHS_1754_Type1_UFast_Unequal1,1,10.0,1.0,1.0,1000000,991417,984576,236,236,236,0,0,0,0.0236,0.0236,0.0236
FINAL_LHS_1754_Type1_UFast_Unequal2,2,1.0,0.1,0.1,1000000,991417,984576,239,239,239,0,0,0,0.0239,0.0239,0.0239
FINAL_LHS_1754_Type1_UFast_Unequal3,3,10.0,0.1,1.0,1000000,991417,984576,688,688,688,0,0,0,0.0688,0.0688,0.0688
FINAL_LHS_1754_Type1_UFast_Unequal4,4,10.0,1.0,0.1,1000000,991417,984576,1799,1799,1799,0,0,0,0.1799,0.1799,0.1799
FINAL_LHS_1754_Type1_UFast_Unequal5,5,10.0,0.1,0.1,1000000,991417,984576,4153,4153,4153,0,0,0,0.4153,0.4153,0.4153
FINAL_LHS_1754_Type1_VFast_Unequal1,6,1.0,10.0,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_LHS_1754_Type1_VFast_Unequal2,7,0.1,1.0,0.1,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_LHS_1754_Type1_VFast_Unequal3,8,0.1,10.0,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_LHS_1754_Type1_VFast_Unequal4,9,1.0,10.0,0.1,1000000,991417,984576,79,79,79,0,0,0,0.0079,0.0079,0.0079
FINAL_LHS_1754_Type1_VFast_Unequal5,10,0.1,10.0,0.1,1000000,991417,984576,45,45,45,0,0,0,0.0045,0.0045,0.0045
FINAL_LHS_1754_Type1_UVFast_Unequal1,11,10.0,10.0,1.0,1000000,991417,984576,46,46,46,0,0,0,0.0046,0.0046,0.0046
FINAL_LHS_1754_Type1_UVFast_Unequal2,12,1.0,1.0,0.1,1000000,991417,984576,46,46,46,0,0,0,0.0046,0.0046,0.0046
FINAL_LHS_1754_Type1_UVFast_Unequal3,13,10.0,10.0,0.1,1000000,991417,984576,477,477,477,0,0,0,0.0477,0.0477,0.0477
FINAL_LHS_1754_Type2_VFreeze_Equal1,14,1.0,0.0,1.0,1000000,991417,984576,17,17,17,0,0,0,0.0017,0.0017,0.0017
FINAL_LHS_1754_Type2_VFreeze_Equal2,15,0.1,0.0,0.1,1000000,991417,984576,17,17,17,0,0,0,0.0017,0.0017,0.0017
FINAL_LHS_1754_Type2_VFreeze_Equal3,16,10.0,0.0,10.0,1000000,991417,984576,17,17,17,0,0,0,0.0017,0.0017,0.0017
FINAL_LHS_1754_Type2_VFreeze_Unequal1,17,0.1,0.0,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_LHS_1754_Type2_VFreeze_Unequal2,18,1.0,0.0,0.1,1000000,991417,984576,943,943,943,0,0,0,0.0943,0.0943,0.0943
FINAL_LHS_1754_Type2_VFreeze_Unequal3,19,0.1,0.0,10.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_LHS_1754_Type2_VFreeze_Unequal4,20,10.0,0.0,0.1,1000000,991417,984576,5743,5743,5743,0,0,0,0.5743,0.5743,0.5743
FINAL_LHS_1754_Type2_VFreeze_Unequal5,21,1.0,0.0,10.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
