config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
1754_CDD_Type1,0,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",1000000,991417,984576,162,162,162,0,0,0.016453783151326052,0.016453783151326052,0.016453783151326052,0.016453783151326052
1754_CDD_Type1_Control,1,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type2_Equal,2,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type2_Unequal1,3,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type2_Unequal2,4,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type2_Limit,5,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type3_Equal,6,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,991417,984576,826,826,400,426,0,0.08389398075923037,0.08389398075923037,0.0406266250650026,0.0406266250650026
1754_CDD_Type3_Unequal1,7,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,991417,984576,3196,3196,2770,426,0,0.32460673426937076,0.32460673426937076,0.281339378575143,0.281339378575143
1754_CDD_Type3_Unequal2,8,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",1000000,991417,984576,3259,3259,2831,428,0,0.33100542771710867,0.33100542771710867,0.2875349388975559,0.2875349388975559
1754_CDD_Type3_Limit,9,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,991417,984576,825,825,399,426,0,0.08379241419656787,0.08379241419656787,0.040525058502340096,0.040525058502340096
1754_CCD_Type1,10,"{'dU': 10.0, 'dV': 10.0, 'dW': 1.0}",1000000,991417,984576,28,28,28,0,0,0.002843863754550182,0.002843863754550182,0.002843863754550182,0.002843863754550182
1754_CCD_Type1_OneFast,11,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",1000000,991417,984576,162,162,162,0,0,0.016453783151326052,0.016453783151326052,0.016453783151326052,0.016453783151326052
1754_CCD_Type1_Control,12,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CCD_Type2_Equal,13,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",1000000,991417,984576,17,17,17,0,0,0.0017266315652626105,0.0017266315652626105,0.0017266315652626105,0.0017266315652626105
1754_CCD_Type2_Unequal1,14,"{'dU': 0.1, 'dV': 0.0, 'dW': 1.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CCD_Type2_Unequal2,15,"{'dU': 1.0, 'dV': 0.0, 'dW': 10.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CCD_Type2_Limit,16,"{'dU': 0.1, 'dV': 0.0, 'dW': 0.1}",1000000,991417,984576,17,17,17,0,0,0.0017266315652626105,0.0017266315652626105,0.0017266315652626105,0.0017266315652626105
1754_CCD_Type3_Equal,17,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,991417,984576,826,826,400,426,0,0.08389398075923037,0.08389398075923037,0.0406266250650026,0.0406266250650026
