config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
1754_DCI_Type3_Limit,24,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",500000,495757,492415,410,410,185,225,0,0.0832631012459003,0.0832631012459003,0.03756993592802819,0.03756993592802819
1754_CCD_Type3_Limit,22,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",500000,495757,492415,410,410,185,225,0,0.0832631012459003,0.0832631012459003,0.03756993592802819,0.03756993592802819
1754_CCD_Type3_Equal,19,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,495757,492415,407,407,181,226,0,0.08265385904166202,0.08265385904166202,0.03675761298904379,0.03675761298904379
1754_DCI_Type3,23,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,495757,492415,407,407,181,226,0,0.08265385904166202,0.08265385904166202,0.03675761298904379,0.03675761298904379
1754_CDD_Type3_Var,10,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,495757,492415,407,407,181,226,0,0.08265385904166202,0.08265385904166202,0.03675761298904379,0.03675761298904379
1754_CCD_Type3_Unequal2,21,"{'dU': 1.0, 'dV': 10.0, 'dW': 0.0}",500000,495757,492415,235,235,9,226,0,0.047723972665333105,0.047723972665333105,0.001827726612714885,0.001827726612714885
1754_CCD_Type3_Unequal1,20,"{'dU': 0.1, 'dV': 1.0, 'dW': 0.0}",500000,495757,492415,235,235,9,226,0,0.047723972665333105,0.047723972665333105,0.001827726612714885,0.001827726612714885
1754_CDD_Type1,0,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",500000,495757,492415,83,83,83,0,0,0.01685570098392616,0.01685570098392616,0.01685570098392616,0.01685570098392616
1754_CCD_Type1,11,"{'dU': 10.0, 'dV': 10.0, 'dW': 1.0}",500000,495757,492415,15,15,15,0,0,0.003046211021191475,0.003046211021191475,0.003046211021191475,0.003046211021191475
1754_CCD_Type2_Limit,17,"{'dU': 0.1, 'dV': 0.0, 'dW': 0.1}",500000,495757,492415,13,13,13,0,0,0.002640049551699278,0.002640049551699278,0.002640049551699278,0.002640049551699278
1754_CCD_Type2_Equal,14,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",500000,495757,492415,13,13,13,0,0,0.002640049551699278,0.002640049551699278,0.002640049551699278,0.002640049551699278
1754_CDD_Type3_Limit,9,"{'dU': 0.1, 'dV': 0.0, 'dW': 0.1}",500000,495757,492415,13,13,13,0,0,0.002640049551699278,0.002640049551699278,0.002640049551699278,0.002640049551699278
1754_CDD_Type3_Equal,6,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",500000,495757,492415,13,13,13,0,0,0.002640049551699278,0.002640049551699278,0.002640049551699278,0.002640049551699278
1754_CCD_Type1_OneFast,12,"{'dU': 1.0, 'dV': 10.0, 'dW': 1.0}",500000,495757,492415,1,1,1,0,0,0.00020308073474609831,0.00020308073474609831,0.00020308073474609831,0.00020308073474609831
1754_CDD_Type2_Unequal2,4,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type3_Unequal2,8,"{'dU': 1.0, 'dV': 0.0, 'dW': 10.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type3_Unequal1,7,"{'dU': 0.1, 'dV': 0.0, 'dW': 1.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CCD_Type2_Var,18,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CCD_Type2_Unequal2,16,"{'dU': 1.0, 'dV': 0.0, 'dW': 10.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type2_Limit,5,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type2_Equal,2,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type1_Control,1,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CCD_Type1_Control,13,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CCD_Type2_Unequal1,15,"{'dU': 0.1, 'dV': 0.0, 'dW': 1.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
1754_CDD_Type2_Unequal1,3,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",500000,495757,492415,0,0,0,0,0,0.0,0.0,0.0,0.0
