config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.3,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.4,500000,499876,7,7,7,0,0,0,0.0014,0.0014,0.0014
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.5,500000,498732,123,123,123,0,0,0,0.0246,0.0246,0.0246
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.58,500000,496006,636,636,636,0,0,0,0.1272,0.1272,0.1272
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.6,500000,495049,891,891,891,0,0,0,0.1782,0.1782,0.1782
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.7,500000,488877,2681,2681,2681,0,0,0,0.5362,0.5362,0.5362
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.8,500000,480598,6010,6010,6010,0,0,0,1.202,1.202,1.202
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,0.9,500000,471253,10627,10627,10627,0,0,0,2.1254,2.1254,2.1254
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,1.0,500000,461448,15974,15974,15974,0,0,0,3.1948,3.1948,3.1948
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,1.1,500000,450966,21314,21314,21314,0,0,0,4.2628,4.2628,4.2628
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,1.2,500000,439833,26428,26428,26428,0,0,0,5.2856,5.2856,5.2856
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,1.3,500000,428013,30902,30902,30902,0,0,0,6.1804,6.1804,6.1804
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,1.4,500000,415585,34880,34880,34880,0,0,0,6.976,6.976,6.976
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,1.5,500000,402914,38145,38145,38145,0,0,0,7.629,7.629,7.629
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,1.6,500000,389868,40740,40740,40740,0,0,0,8.148,8.148,8.148
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,1.8,500000,364012,44237,44237,44237,0,0,0,8.8474,8.8474,8.8474
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,2.0,500000,339351,46157,46157,46157,0,0,0,9.2314,9.2314,9.2314
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,2.2,500000,316290,46759,46759,46759,0,0,0,9.3518,9.3518,9.3518
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,2.4,500000,295017,46506,46506,46506,0,0,0,9.3012,9.3012,9.3012
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,2.6,500000,276069,46064,46064,46064,0,0,0,9.2128,9.2128,9.2128
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,2.8,500000,259145,45561,45561,45561,0,0,0,9.1122,9.1122,9.1122
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,3.0,500000,244038,44642,44642,44642,0,0,0,8.9284,8.9284,8.9284
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,3.2,500000,230592,43953,43953,43953,0,0,0,8.7906,8.7906,8.7906
FINAL_RMT_1754_Type2_VFreeze_Unequal6,22,10.0,0.0,1.0,3.4,500000,218627,42972,42972,42972,0,0,0,8.5944,8.5944,8.5944
