config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.3,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.4,500000,499876,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.5,500000,498732,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.58,500000,496006,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.6,500000,495049,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.7,500000,488877,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.8,500000,480598,2,2,2,0,0,0,0.0004,0.0004,0.0004
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,0.9,500000,471253,16,16,16,0,0,0,0.0032,0.0032,0.0032
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,1.0,500000,461448,35,35,35,0,0,0,0.007,0.007,0.007
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,1.1,500000,450966,67,67,67,0,0,0,0.0134,0.0134,0.0134
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,1.2,500000,439833,146,146,146,0,0,0,0.0292,0.0292,0.0292
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,1.3,500000,428013,221,221,221,0,0,0,0.0442,0.0442,0.0442
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,1.4,500000,415585,328,328,328,0,0,0,0.0656,0.0656,0.0656
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,1.5,500000,402914,425,425,425,0,0,0,0.085,0.085,0.085
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,1.6,500000,389868,588,588,588,0,0,0,0.1176,0.1176,0.1176
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,1.8,500000,364012,924,924,924,0,0,0,0.1848,0.1848,0.1848
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,2.0,500000,339351,1231,1231,1231,0,0,0,0.2462,0.2462,0.2462
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,2.2,500000,316290,1654,1654,1654,0,0,0,0.3308,0.3308,0.3308
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,2.4,500000,295017,1983,1983,1983,0,0,0,0.3966,0.3966,0.3966
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,2.6,500000,276069,2387,2387,2387,0,0,0,0.4774,0.4774,0.4774
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,2.8,500000,259145,2710,2710,2710,0,0,0,0.542,0.542,0.542
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,3.0,500000,244038,3069,3069,3069,0,0,0,0.6138,0.6138,0.6138
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,3.2,500000,230592,3431,3431,3431,0,0,0,0.6862,0.6862,0.6862
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,3.4,500000,218627,3761,3761,3761,0,0,0,0.7522,0.7522,0.7522
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,3.6,500000,207970,4087,4087,4087,0,0,0,0.8174,0.8174,0.8174
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,3.8,500000,198315,4339,4339,4339,0,0,0,0.8678,0.8678,0.8678
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,4.0,500000,189657,4660,4660,4660,0,0,0,0.932,0.932,0.932
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,4.5,500000,171077,5293,5293,5293,0,0,0,1.0586,1.0586,1.0586
FINAL_RMT_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,5.0,500000,156303,6005,6005,6005,0,0,0,1.201,1.201,1.201
