config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,0.4,100000,99981,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,0.5,100000,99732,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,0.7,100000,97782,2,2,2,0,0,0.002,0.002,0.002
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,0.8,100000,96149,2,2,2,0,0,0.002,0.002,0.002
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,0.9,100000,94311,10,10,10,0,0,0.01,0.01,0.01
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,1.0,100000,92345,22,22,22,0,0,0.022,0.022,0.022
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,1.1,100000,90198,30,30,30,0,0,0.03,0.03,0.03
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,1.2,100000,88080,43,43,43,0,0,0.043,0.043,0.043
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,1.3,100000,85689,30,30,30,0,0,0.03,0.03,0.03
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,1.4,100000,83226,50,50,50,0,0,0.05,0.05,0.05
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,1.5,100000,80727,43,43,43,0,0,0.043,0.043,0.043
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,1.6,100000,78077,60,60,60,0,0,0.06,0.06,0.06
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,1.8,100000,72870,54,54,54,0,0,0.054,0.054,0.054
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,2.0,100000,67959,55,55,55,0,0,0.055,0.055,0.055
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,2.2,100000,63389,57,57,57,0,0,0.057,0.057,0.057
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,2.4,100000,59093,47,47,47,0,0,0.047,0.047,0.047
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,2.6,100000,55261,38,38,38,0,0,0.038,0.038,0.038
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,2.8,100000,51853,38,38,38,0,0,0.038,0.038,0.038
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,3.0,100000,48898,37,37,37,0,0,0.037,0.037,0.037
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,3.2,100000,46233,37,37,37,0,0,0.037,0.037,0.037
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,3.4,100000,43879,23,23,23,0,0,0.023,0.023,0.023
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,3.6,100000,41674,24,24,24,0,0,0.024,0.024,0.024
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,3.8,100000,39752,21,21,21,0,0,0.021,0.021,0.021
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,4.0,100000,38013,15,15,15,0,0,0.015,0.015,0.015
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,5.0,100000,31319,9,9,9,0,0,0.009,0.009,0.009
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,6.0,100000,26971,7,7,7,0,0,0.007,0.007,0.007
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,7.0,100000,23995,4,4,4,0,0,0.004,0.004,0.004
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,8.0,100000,21713,1,1,1,0,0,0.001,0.001,0.001
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,9.0,100000,19905,1,1,1,0,0,0.001,0.001,0.001
NEW_RMT_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,10.0,100000,18489,1,1,1,0,0,0.001,0.001,0.001
