config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,0.4,100000,99981,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,0.5,100000,99732,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,0.6,100000,98966,1,1,1,0,0,0.001,0.001,0.001
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,0.7,100000,97782,8,8,8,0,0,0.008,0.008,0.008
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,0.8,100000,96149,22,22,22,0,0,0.022,0.022,0.022
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,0.9,100000,94311,60,60,60,0,0,0.06,0.06,0.06
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,1.0,100000,92345,116,116,116,0,0,0.116,0.116,0.116
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,1.1,100000,90198,217,217,217,0,0,0.217,0.217,0.217
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,1.2,100000,88080,308,308,308,0,0,0.308,0.308,0.308
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,1.3,100000,85689,423,423,423,0,0,0.423,0.423,0.423
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,1.4,100000,83226,507,507,507,0,0,0.507,0.507,0.507
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,1.5,100000,80727,646,646,646,0,0,0.646,0.646,0.646
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,1.6,100000,78077,757,757,757,0,0,0.757,0.757,0.757
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,1.8,100000,72870,938,938,938,0,0,0.938,0.938,0.938
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,2.0,100000,67959,1098,1098,1098,0,0,1.098,1.098,1.098
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,2.2,100000,63389,1318,1318,1318,0,0,1.318,1.318,1.318
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,2.4,100000,59093,1472,1472,1472,0,0,1.472,1.472,1.472
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,2.6,100000,55261,1581,1581,1581,0,0,1.581,1.581,1.581
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,2.8,100000,51853,1696,1696,1696,0,0,1.696,1.696,1.696
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,3.0,100000,48898,1853,1853,1853,0,0,1.853,1.853,1.853
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,3.2,100000,46233,1968,1968,1968,0,0,1.968,1.968,1.968
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,3.4,100000,43879,2036,2036,2036,0,0,2.036,2.036,2.036
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,3.6,100000,41674,2127,2127,2127,0,0,2.127,2.127,2.127
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,3.8,100000,39752,2203,2203,2203,0,0,2.203,2.203,2.203
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,4.0,100000,38013,2273,2273,2273,0,0,2.273,2.273,2.273
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,5.0,100000,31319,2540,2540,2540,0,0,2.54,2.54,2.54
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,6.0,100000,26971,2823,2823,2823,0,0,2.823,2.823,2.823
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,7.0,100000,23995,3002,3002,3002,0,0,3.002,3.002,3.002
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,8.0,100000,21713,3099,3099,3099,0,0,3.099,3.099,3.099
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,9.0,100000,19905,3194,3194,3194,0,0,3.194,3.194,3.194
NEW_RMT_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,10.0,100000,18489,3290,3290,3290,0,0,3.29,3.29,3.29
