config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,0.3,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,0.4,1000000,999761,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,0.5,1000000,997410,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,0.6,1000000,990092,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,0.7,1000000,977522,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,0.8,1000000,961006,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,0.9,1000000,942442,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,1.0,1000000,922580,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,1.1,1000000,901705,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,1.2,1000000,879455,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,1.3,1000000,855937,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,1.4,1000000,831230,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,1.5,1000000,805932,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,1.6,1000000,779894,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,1.8,1000000,728302,1,1,1,0,0,0.0001,0.0001,0.0001
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,2.0,1000000,679144,4,4,4,0,0,0.0004,0.0004,0.0004
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,2.2,1000000,632850,6,6,6,0,0,0.0006,0.0006,0.0006
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,2.4,1000000,590531,15,15,15,0,0,0.0015,0.0015,0.0015
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,2.6,1000000,552782,25,25,25,0,0,0.0025,0.0025,0.0025
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,2.8,1000000,519067,34,34,34,0,0,0.0034,0.0034,0.0034
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,3.0,1000000,488766,62,62,62,0,0,0.0062,0.0062,0.0062
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,3.2,1000000,461866,99,99,99,0,0,0.0099,0.0099,0.0099
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,3.4,1000000,437771,128,128,128,0,0,0.0128,0.0128,0.0128
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,3.6,1000000,416254,159,159,159,0,0,0.0159,0.0159,0.0159
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,3.8,1000000,396959,203,203,203,0,0,0.0203,0.0203,0.0203
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,4.0,1000000,379473,243,243,243,0,0,0.0243,0.0243,0.0243
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,5.0,1000000,313375,614,614,614,0,0,0.0614,0.0614,0.0614
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,6.0,1000000,269672,1056,1056,1056,0,0,0.1056,0.1056,0.1056
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,7.0,1000000,238911,1600,1600,1600,0,0,0.16,0.16,0.16
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,8.0,1000000,216103,2200,2200,2200,0,0,0.22,0.22,0.22
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,9.0,1000000,198593,2823,2823,2823,0,0,0.2823,0.2823,0.2823
RMT_1754_CCD_Type3_Unequal2,25,1.0,10.0,0.0,10.0,1000000,184231,3419,3419,3419,0,0,0.3419,0.3419,0.3419
