config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,0.3,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,0.4,1000000,999761,0,0,0,0,0,0.0,0.0,0.0
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,0.5,1000000,997410,62,62,62,0,0,0.0062,0.0062,0.0062
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,0.6,1000000,990092,608,608,608,0,0,0.0608,0.0608,0.0608
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,0.7,1000000,977522,2228,2228,2228,0,0,0.2228,0.2228,0.2228
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,0.8,1000000,961006,5422,5422,5422,0,0,0.5422,0.5422,0.5422
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,0.9,1000000,942442,10376,10376,10376,0,0,1.0376,1.0376,1.0376
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,1.0,1000000,922580,16486,16486,16486,0,0,1.6486,1.6486,1.6486
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,1.1,1000000,901705,22837,22837,22837,0,0,2.2837,2.2837,2.2837
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,1.2,1000000,879455,28836,28836,28836,0,0,2.8836,2.8836,2.8836
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,1.3,1000000,855937,34494,34494,34494,0,0,3.4494,3.4494,3.4494
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,1.4,1000000,831230,39488,39488,39488,0,0,3.9488,3.9488,3.9488
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,1.5,1000000,805932,43754,43754,43754,0,0,4.3754,4.3754,4.3754
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,1.6,1000000,779894,47121,47121,47121,0,0,4.7121,4.7121,4.7121
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,1.8,1000000,728302,52068,52068,52068,0,0,5.2068,5.2068,5.2068
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,2.0,1000000,679144,54770,54770,54770,0,0,5.477,5.477,5.477
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,2.2,1000000,632850,56194,56194,56194,0,0,5.6194,5.6194,5.6194
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,2.4,1000000,590531,56375,56375,56375,0,0,5.6375,5.6375,5.6375
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,2.6,1000000,552782,56302,56302,56302,0,0,5.6302,5.6302,5.6302
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,2.8,1000000,519067,55643,55643,55643,0,0,5.5643,5.5643,5.5643
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,3.0,1000000,488766,54817,54817,54817,0,0,5.4817,5.4817,5.4817
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,3.2,1000000,461866,54029,54029,54029,0,0,5.4029,5.4029,5.4029
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,3.4,1000000,437771,53221,53221,53221,0,0,5.3221,5.3221,5.3221
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,3.6,1000000,416254,52243,52243,52243,0,0,5.2243,5.2243,5.2243
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,3.8,1000000,396959,51402,51402,51402,0,0,5.1402,5.1402,5.1402
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,4.0,1000000,379473,50488,50488,50488,0,0,5.0488,5.0488,5.0488
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,5.0,1000000,313375,46882,46882,46882,0,0,4.6882,4.6882,4.6882
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,6.0,1000000,269672,43810,43810,43810,0,0,4.381,4.381,4.381
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,7.0,1000000,238911,41185,41185,41185,0,0,4.1185,4.1185,4.1185
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,8.0,1000000,216103,39007,39007,39007,0,0,3.9007,3.9007,3.9007
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,9.0,1000000,198593,37256,37256,37256,0,0,3.7256,3.7256,3.7256
RMT_1754_CDD_Type1,0,10.0,1.0,1.0,10.0,1000000,184231,35775,35775,35775,0,0,3.5775,3.5775,3.5775
