config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
NEW_LHS_1823_Type1_Control_Slow,0,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.1}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type1_Control_Equal,1,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type1_Control_Fast,2,"{'dU': 10.0, 'dV': 10.0, 'dW': 10.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type1_UFast_Unequal1,3,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",1000000,995111,992778,2,2,2,0,0,0.0002,0.0002,0.0002,0.0002
NEW_LHS_1823_Type1_UFast_Unequal2,4,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.1}",1000000,995111,992778,2,2,2,0,0,0.0002,0.0002,0.0002,0.0002
NEW_LHS_1823_Type1_UFast_Unequal3,5,"{'dU': 10.0, 'dV': 0.1, 'dW': 1.0}",1000000,995111,992778,10,10,10,0,0,0.001,0.001,0.001,0.001
NEW_LHS_1823_Type1_UFast_Unequal4,6,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.1}",1000000,995111,992778,6,6,6,0,0,0.0006,0.0006,0.0006,0.0006
NEW_LHS_1823_Type1_UFast_Unequal5,7,"{'dU': 10.0, 'dV': 0.1, 'dW': 0.1}",1000000,995111,992778,29,29,29,0,0,0.0029,0.0029,0.0029,0.0029
NEW_LHS_1823_Type2_UFreeze_Equal1,8,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type2_UFreeze_Equal2,9,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type2_UFreeze_Equal3,10,"{'dU': 0.0, 'dV': 10.0, 'dW': 10.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type2_UFreeze_Unequal1,11,"{'dU': 0.0, 'dV': 1.0, 'dW': 0.1}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type2_UFreeze_Unequal2,12,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type2_UFreeze_Unequal3,13,"{'dU': 0.0, 'dV': 10.0, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type2_UFreeze_Unequal4,14,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type2_UFreeze_Unequal5,15,"{'dU': 0.0, 'dV': 0.1, 'dW': 10.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type2_UFreeze_Unequal6,16,"{'dU': 0.0, 'dV': 10.0, 'dW': 0.1}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_WFreeze_Equal1,17,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_WFreeze_Equal2,18,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_WFreeze_Equal3,19,"{'dU': 10.0, 'dV': 10.0, 'dW': 0.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_WFreeze_Unequal1,20,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",1000000,995111,992778,7,7,7,0,0,0.0007,0.0007,0.0007,0.0007
NEW_LHS_1823_Type3_WFreeze_Unequal2,21,"{'dU': 0.1, 'dV': 1.0, 'dW': 0.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_WFreeze_Unequal3,22,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,995111,992778,7,7,7,0,0,0.0007,0.0007,0.0007,0.0007
NEW_LHS_1823_Type3_WFreeze_Unequal4,23,"{'dU': 1.0, 'dV': 10.0, 'dW': 0.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_WFreeze_Unequal5,24,"{'dU': 0.1, 'dV': 10.0, 'dW': 0.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_WFreeze_Unequal6,25,"{'dU': 10.0, 'dV': 0.1, 'dW': 0.0}",1000000,995111,992778,42,42,42,0,0,0.0042,0.0042,0.0042,0.0042
NEW_LHS_1823_Type3_VFreeze_Equal1,26,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_VFreeze_Equal2,27,"{'dU': 0.1, 'dV': 0.0, 'dW': 0.1}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_VFreeze_Equal3,28,"{'dU': 10.0, 'dV': 0.0, 'dW': 10.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_VFreeze_Unequal1,29,"{'dU': 0.1, 'dV': 0.0, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_VFreeze_Unequal2,30,"{'dU': 1.0, 'dV': 0.0, 'dW': 0.1}",1000000,995111,992778,12,12,12,0,0,0.0012,0.0012,0.0012,0.0012
NEW_LHS_1823_Type3_VFreeze_Unequal3,31,"{'dU': 0.1, 'dV': 0.0, 'dW': 10.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_VFreeze_Unequal4,32,"{'dU': 10.0, 'dV': 0.0, 'dW': 0.1}",1000000,995111,992778,51,51,51,0,0,0.0051,0.0051,0.0051,0.0051
NEW_LHS_1823_Type3_VFreeze_Unequal5,33,"{'dU': 1.0, 'dV': 0.0, 'dW': 10.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
NEW_LHS_1823_Type3_VFreeze_Unequal6,34,"{'dU': 10.0, 'dV': 0.0, 'dW': 1.0}",1000000,995111,992778,12,12,12,0,0,0.0012,0.0012,0.0012,0.0012
