config_name,config_id,dU,dV,dW,sigma,n_samples,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.3,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.4,500000,499562,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.5,500000,495492,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.58,500000,486045,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.6,500000,482662,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.7,500000,460928,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.8,500000,433280,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,0.9,500000,403439,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,1.0,500000,374064,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Slow,0,0.1,0.1,0.1,1.1,500000,346492,0,0,0,0,0,0,0.0,0.0,0.0
