config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
LHS_1823_CDD_Type1,0,"{'dU': 10.0, 'dV': 0.0, 'dW': 1.0}",1000000,995111,992778,12,12,12,0,0,0.0012,0.0012,0.0012,0.0012
LHS_1823_CDD_Type1_Var1,1,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",1000000,995111,992778,2,2,2,0,0,0.0002,0.0002,0.0002,0.0002
LHS_1823_CDD_Type1_Var2,2,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,995111,992778,7,7,7,0,0,0.0007,0.0007,0.0007,0.0007
LHS_1823_CDD_Type1_Control,3,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1823_CDD_Type2_Equal,4,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1823_CDD_Type2_Unequal1,5,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",1000000,995111,992778,7,7,7,0,0,0.0007,0.0007,0.0007,0.0007
LHS_1823_CDD_Type2_Unequal2,6,"{'dU': 0.1, 'dV': 1.0, 'dW': 0.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1823_CDD_Type2_Var1,7,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1823_CDD_Type3_Equal,8,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1823_CDD_Type3_Unequal1,9,"{'dU': 0.1, 'dV': 0.0, 'dW': 1.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1823_CDD_Type3_Unequal2,10,"{'dU': 1.0, 'dV': 0.0, 'dW': 0.1}",1000000,995111,992778,12,12,12,0,0,0.0012,0.0012,0.0012,0.0012
LHS_1823_CDD_Type3_Var1,11,"{'dU': 1.0, 'dV': 0.0, 'dW': 0.0}",1000000,995111,992778,137,137,0,137,0,0.0137,0.0137,0.0,0.0
LHS_1823_CDD_Type3_Var2,12,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,995111,992778,0,0,0,0,0,0.0,0.0,0.0,0.0
