config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.3,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.4,500000,499562,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.5,500000,495492,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.58,500000,486045,24,24,24,0,0,0,0.0048,0.0048,0.0048
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.6,500000,482662,27,27,27,0,0,0,0.0054,0.0054,0.0054
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.7,500000,460928,121,121,121,0,0,0,0.0242,0.0242,0.0242
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.8,500000,433280,318,318,318,0,0,0,0.0636,0.0636,0.0636
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.9,500000,403439,655,655,655,0,0,0,0.131,0.131,0.131
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.0,500000,374064,1096,1096,1096,0,0,0,0.2192,0.2192,0.2192
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.1,500000,346492,1703,1703,1703,0,0,0,0.3406,0.3406,0.3406
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.2,500000,321234,2412,2412,2412,0,0,0,0.4824,0.4824,0.4824
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.3,500000,298617,3115,3115,3115,0,0,0,0.623,0.623,0.623
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.4,500000,278542,3885,3885,3885,0,0,0,0.777,0.777,0.777
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.5,500000,260816,4696,4696,4696,0,0,0,0.9392,0.9392,0.9392
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.6,500000,245068,5443,5443,5443,0,0,0,1.0886,1.0886,1.0886
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.8,500000,219021,6866,6866,6866,0,0,0,1.3732,1.3732,1.3732
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.0,500000,198141,8226,8226,8226,0,0,0,1.6452,1.6452,1.6452
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.2,500000,181037,9414,9414,9414,0,0,0,1.8828,1.8828,1.8828
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.4,500000,166960,10466,10466,10466,0,0,0,2.0932,2.0932,2.0932
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.6,500000,155337,11232,11232,11232,0,0,0,2.2464,2.2464,2.2464
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.8,500000,145463,12015,12015,12015,0,0,0,2.403,2.403,2.403
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.0,500000,137181,12639,12639,12639,0,0,0,2.5278,2.5278,2.5278
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.2,500000,130047,13130,13130,13130,0,0,0,2.626,2.626,2.626
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.4,500000,123759,13484,13484,13484,0,0,0,2.6968,2.6968,2.6968
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.6,500000,118333,13900,13900,13900,0,0,0,2.78,2.78,2.78
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.8,500000,113543,14233,14233,14233,0,0,0,2.8466,2.8466,2.8466
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,4.0,500000,109120,14349,14349,14349,0,0,0,2.8698,2.8698,2.8698
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,4.5,500000,99915,14663,14663,14663,0,0,0,2.9326,2.9326,2.9326
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,5.0,500000,92591,14943,14943,14943,0,0,0,2.9886,2.9886,2.9886
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,5.5,500000,86521,14907,14907,14907,0,0,0,2.9814,2.9814,2.9814
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,6.0,500000,81401,14827,14827,14827,0,0,0,2.9654,2.9654,2.9654
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,7.0,500000,73173,14424,14424,14418,6,0,0,2.8848,2.8848,2.8836
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,8.0,500000,66833,13938,13938,13915,23,0,0,2.7876,2.7876,2.783
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,9.0,500000,61663,13335,13335,13275,60,0,0,2.667,2.667,2.655
NEW_RMT_1823_Type1_UFast_Unequal2,4,1.0,0.1,0.1,10.0,500000,57346,12889,12889,12758,131,0,0,2.5778,2.5778,2.5516
