config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.4,100000,99916,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.5,100000,99095,3,3,3,0,0,0.003,0.003,0.003
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.6,100000,96497,25,25,25,0,0,0.025,0.025,0.025
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.7,100000,92219,67,67,67,0,0,0.067,0.067,0.067
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.8,100000,86647,143,143,143,0,0,0.143,0.143,0.143
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.9,100000,80693,288,288,288,0,0,0.288,0.288,0.288
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.0,100000,74883,443,443,443,0,0,0.443,0.443,0.443
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.1,100000,69448,622,622,622,0,0,0.622,0.622,0.622
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.2,100000,64341,837,837,837,0,0,0.837,0.837,0.837
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.3,100000,59819,1025,1025,1025,0,0,1.025,1.025,1.025
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.4,100000,55729,1262,1262,1262,0,0,1.262,1.262,1.262
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.5,100000,52204,1482,1482,1482,0,0,1.482,1.482,1.482
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.6,100000,49074,1691,1691,1691,0,0,1.691,1.691,1.691
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.8,100000,43899,2084,2084,2084,0,0,2.084,2.084,2.084
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.0,100000,39726,2474,2474,2474,0,0,2.474,2.474,2.474
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.2,100000,36344,2704,2704,2704,0,0,2.704,2.704,2.704
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.4,100000,33466,2948,2948,2948,0,0,2.948,2.948,2.948
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.6,100000,31161,3182,3182,3182,0,0,3.182,3.182,3.182
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.8,100000,29213,3316,3316,3316,0,0,3.316,3.316,3.316
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.0,100000,27559,3440,3440,3440,0,0,3.44,3.44,3.44
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.2,100000,26128,3549,3549,3549,0,0,3.549,3.549,3.549
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.4,100000,24914,3609,3609,3609,0,0,3.609,3.609,3.609
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.6,100000,23841,3682,3682,3682,0,0,3.682,3.682,3.682
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.8,100000,22849,3686,3686,3686,0,0,3.686,3.686,3.686
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,4.0,100000,21954,3690,3690,3690,0,0,3.69,3.69,3.69
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,5.0,100000,18608,3759,3759,3759,0,0,3.759,3.759,3.759
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,6.0,100000,16330,3684,3684,3684,0,0,3.684,3.684,3.684
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,7.0,100000,14663,3483,3483,3483,0,0,3.483,3.483,3.483
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,8.0,100000,13387,3327,3327,3327,0,0,3.327,3.327,3.327
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,9.0,100000,12386,3216,3216,3216,0,0,3.216,3.216,3.216
NEW_RMT_1823_Type1_UFast_Unequal3,5,10.0,0.1,1.0,10.0,100000,11533,3072,3072,3072,0,0,3.072,3.072,3.072
