config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.3,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.4,500000,499562,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.5,500000,495492,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.58,500000,486045,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.6,500000,482662,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.7,500000,460928,1,1,1,0,0,0,0.0002,0.0002,0.0002
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.8,500000,433280,6,6,6,0,0,0,0.0012,0.0012,0.0012
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,0.9,500000,403439,19,19,19,0,0,0,0.0038,0.0038,0.0038
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,1.0,500000,374064,65,65,65,0,0,0,0.013,0.013,0.013
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,1.1,500000,346492,136,136,136,0,0,0,0.0272,0.0272,0.0272
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,1.2,500000,321234,249,249,249,0,0,0,0.0498,0.0498,0.0498
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,1.3,500000,298617,405,405,405,0,0,0,0.081,0.081,0.081
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,1.4,500000,278542,604,604,604,0,0,0,0.1208,0.1208,0.1208
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,1.5,500000,260816,849,849,849,0,0,0,0.1698,0.1698,0.1698
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,1.6,500000,245068,1151,1151,1150,1,0,0,0.2302,0.2302,0.23
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,1.8,500000,219021,1886,1886,1885,1,0,0,0.3772,0.3772,0.377
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,2.0,500000,198141,2693,2693,2684,9,0,0,0.5386,0.5386,0.5368
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,2.2,500000,181037,3463,3463,3425,38,0,0,0.6926,0.6926,0.685
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,2.4,500000,166960,4392,4392,4295,97,0,0,0.8784,0.8784,0.859
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,2.6,500000,155337,5182,5182,4988,194,0,0,1.0364,1.0364,0.9976
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,2.8,500000,145463,6077,6077,5717,360,0,0,1.2154,1.2154,1.1434
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,3.0,500000,137181,6808,6808,6250,558,0,0,1.3616,1.3616,1.25
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,3.2,500000,130047,7513,7513,6732,781,0,0,1.5026,1.5026,1.3464
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,3.4,500000,123759,8235,8235,7125,1110,0,0,1.647,1.647,1.425
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,3.6,500000,118333,8872,8872,7394,1478,0,0,1.7744,1.7744,1.4788
NEW_RMT_1823_Type3_WFreeze_Equal2,18,0.1,0.1,0.0,3.8,500000,113543,9537,9537,7644,1893,0,0,1.9074,1.9074,1.5288
