config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.3,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.4,500000,499562,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.5,500000,495492,25,25,25,0,0,0,0.005,0.005,0.005
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.58,500000,486045,139,139,139,0,0,0,0.0278,0.0278,0.0278
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.6,500000,482662,194,194,194,0,0,0,0.0388,0.0388,0.0388
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.7,500000,460928,592,592,592,0,0,0,0.1184,0.1184,0.1184
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.8,500000,433280,1291,1291,1291,0,0,0,0.2582,0.2582,0.2582
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,0.9,500000,403439,2407,2407,2407,0,0,0,0.4814,0.4814,0.4814
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,1.0,500000,374064,3666,3666,3666,0,0,0,0.7332,0.7332,0.7332
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,1.1,500000,346492,5221,5221,5221,0,0,0,1.0442,1.0442,1.0442
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,1.2,500000,321234,6963,6963,6963,0,0,0,1.3926,1.3926,1.3926
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,1.3,500000,298617,8569,8569,8569,0,0,0,1.7138,1.7138,1.7138
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,1.4,500000,278542,10258,10258,10258,0,0,0,2.0516,2.0516,2.0516
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,1.5,500000,260816,11987,11987,11987,0,0,0,2.3974,2.3974,2.3974
NEW_RMT_1823_Type3_WFreeze_Unequal3,22,10.0,1.0,0.0,1.6,500000,245068,13540,13540,13540,0,0,0,2.708,2.708,2.708
