config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,0.3,1000000,999998,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,0.4,1000000,999157,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,0.5,1000000,990811,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,0.6,1000000,965208,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,0.7,1000000,921791,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,0.8,1000000,866434,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,0.9,1000000,806963,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,1.0,1000000,748444,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,1.1,1000000,693273,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,1.2,1000000,642962,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,1.3,1000000,597884,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,1.4,1000000,557987,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,1.5,1000000,522340,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,1.6,1000000,490763,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,1.8,1000000,438213,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,2.0,1000000,396326,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,2.2,1000000,362146,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,2.4,1000000,334549,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,2.6,1000000,311422,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,2.8,1000000,291815,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,3.0,1000000,275255,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,3.2,1000000,260880,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,3.4,1000000,248189,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,3.6,1000000,237081,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,3.8,1000000,227296,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,4.0,1000000,218458,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,5.0,1000000,185417,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,6.0,1000000,162873,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,7.0,1000000,146496,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,8.0,1000000,133788,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,9.0,1000000,123343,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Control,3,1.0,1.0,1.0,10.0,1000000,114876,0,0,0,0,0,0.0,0.0,0.0
