config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,0.3,1000000,999998,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,0.4,1000000,999157,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,0.5,1000000,990811,2,2,2,0,0,0.0002,0.0002,0.0002
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,0.6,1000000,965208,48,48,48,0,0,0.0048,0.0048,0.0048
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,0.7,1000000,921791,251,251,251,0,0,0.0251,0.0251,0.0251
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,0.8,1000000,866434,632,632,632,0,0,0.0632,0.0632,0.0632
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,0.9,1000000,806963,1317,1317,1317,0,0,0.1317,0.1317,0.1317
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,1.0,1000000,748444,2219,2219,2219,0,0,0.2219,0.2219,0.2219
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,1.1,1000000,693273,3401,3401,3401,0,0,0.3401,0.3401,0.3401
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,1.2,1000000,642962,4725,4725,4725,0,0,0.4725,0.4725,0.4725
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,1.3,1000000,597884,6128,6128,6128,0,0,0.6128,0.6128,0.6128
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,1.4,1000000,557987,7526,7526,7526,0,0,0.7526,0.7526,0.7526
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,1.5,1000000,522340,9116,9116,9116,0,0,0.9116,0.9116,0.9116
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,1.6,1000000,490763,10546,10546,10546,0,0,1.0546,1.0546,1.0546
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,1.8,1000000,438213,13476,13476,13476,0,0,1.3476,1.3476,1.3476
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,2.0,1000000,396326,16214,16214,16214,0,0,1.6214,1.6214,1.6214
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,2.2,1000000,362146,18541,18541,18541,0,0,1.8541,1.8541,1.8541
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,2.4,1000000,334549,20684,20684,20684,0,0,2.0684,2.0684,2.0684
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,2.6,1000000,311422,22258,22258,22258,0,0,2.2258,2.2258,2.2258
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,2.8,1000000,291815,23870,23870,23870,0,0,2.387,2.387,2.387
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,3.0,1000000,275255,25152,25152,25152,0,0,2.5152,2.5152,2.5152
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,3.2,1000000,260880,26106,26106,26106,0,0,2.6106,2.6106,2.6106
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,3.4,1000000,248189,26865,26865,26865,0,0,2.6865,2.6865,2.6865
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,3.6,1000000,237081,27579,27579,27579,0,0,2.7579,2.7579,2.7579
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,3.8,1000000,227296,28174,28174,28174,0,0,2.8174,2.8174,2.8174
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,4.0,1000000,218458,28458,28458,28458,0,0,2.8458,2.8458,2.8458
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,5.0,1000000,185417,29859,29859,29859,0,0,2.9859,2.9859,2.9859
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,6.0,1000000,162873,29519,29519,29519,0,0,2.9519,2.9519,2.9519
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,7.0,1000000,146496,28914,28914,28914,0,0,2.8914,2.8914,2.8914
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,8.0,1000000,133788,28139,28139,28139,0,0,2.8139,2.8139,2.8139
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,9.0,1000000,123343,26933,26933,26933,0,0,2.6933,2.6933,2.6933
RMT_1823_CDD_Type1_Var1,1,10.0,1.0,1.0,10.0,1000000,114876,26011,26011,26011,0,0,2.6011,2.6011,2.6011
