config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.3,500000,499997,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.4,500000,499589,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.5,500000,495402,13,13,13,0,0,0,0.0026,0.0026,0.0026
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.58,500000,485969,83,83,83,0,0,0,0.0166,0.0166,0.0166
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.6,500000,482642,106,106,106,0,0,0,0.0212,0.0212,0.0212
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.7,500000,460746,325,325,325,0,0,0,0.065,0.065,0.065
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.8,500000,433299,767,767,767,0,0,0,0.1534,0.1534,0.1534
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,0.9,500000,403836,1436,1436,1436,0,0,0,0.2872,0.2872,0.2872
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,1.0,500000,374316,2207,2207,2207,0,0,0,0.4414,0.4414,0.4414
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,1.1,500000,346971,3239,3239,3239,0,0,0,0.6478,0.6478,0.6478
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,1.2,500000,321807,4242,4242,4242,0,0,0,0.8484,0.8484,0.8484
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,1.3,500000,299433,5369,5369,5369,0,0,0,1.0738,1.0738,1.0738
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,1.4,500000,279507,6503,6503,6503,0,0,0,1.3006,1.3006,1.3006
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,1.5,500000,261652,7553,7553,7553,0,0,0,1.5106,1.5106,1.5106
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,1.6,500000,245893,8454,8454,8454,0,0,0,1.6908,1.6908,1.6908
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,1.8,500000,219308,10462,10462,10462,0,0,0,2.0924,2.0924,2.0924
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,2.0,500000,198117,12038,12038,12038,0,0,0,2.4076,2.4076,2.4076
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,2.2,500000,181074,13491,13491,13491,0,0,0,2.6982,2.6982,2.6982
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,2.4,500000,167376,14570,14570,14570,0,0,0,2.914,2.914,2.914
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,2.6,500000,155692,15488,15488,15488,0,0,0,3.0976,3.0976,3.0976
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,2.8,500000,145962,16174,16174,16174,0,0,0,3.2348,3.2348,3.2348
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,3.0,500000,137606,16850,16850,16850,0,0,0,3.37,3.37,3.37
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,3.2,500000,130544,17389,17389,17389,0,0,0,3.4778,3.4778,3.4778
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,3.4,500000,124265,17789,17789,17789,0,0,0,3.5578,3.5578,3.5578
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,3.6,500000,118713,18173,18173,18173,0,0,0,3.6346,3.6346,3.6346
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,3.8,500000,113873,18432,18432,18432,0,0,0,3.6864,3.6864,3.6864
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,4.0,500000,109475,18522,18522,18522,0,0,0,3.7044,3.7044,3.7044
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,4.5,500000,100262,18732,18732,18732,0,0,0,3.7464,3.7464,3.7464
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,5.0,500000,92855,18779,18779,18779,0,0,0,3.7558,3.7558,3.7558
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,5.5,500000,86748,18647,18647,18647,0,0,0,3.7294,3.7294,3.7294
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,6.0,500000,81561,18389,18389,18389,0,0,0,3.6778,3.6778,3.6778
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,7.0,500000,73467,17757,17757,17757,0,0,0,3.5514,3.5514,3.5514
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,8.0,500000,67093,16997,16997,16997,0,0,0,3.3994,3.3994,3.3994
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,9.0,500000,62006,16216,16216,16216,0,0,0,3.2432,3.2432,3.2432
NEW_RMT_1838_Type1_WFast_Unequal4,6,1.0,0.1,10.0,10.0,500000,57917,15577,15577,15577,0,0,0,3.1154,3.1154,3.1154
