config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,0.3,100000,99999,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,0.4,100000,99921,2,2,2,0,0,0.002,0.002,0.002
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,0.5,100000,99071,56,56,56,0,0,0.056,0.056,0.056
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,0.6,100000,96487,194,194,194,0,0,0.194,0.194,0.194
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,0.7,100000,92090,464,464,464,0,0,0.464,0.464,0.464
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,0.8,100000,86592,967,967,967,0,0,0.967,0.967,0.967
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,0.9,100000,80635,1457,1457,1457,0,0,1.457,1.457,1.457
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,1.0,100000,74716,2113,2113,2113,0,0,2.113,2.113,2.113
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,1.1,100000,69240,2746,2746,2746,0,0,2.746,2.746,2.746
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,1.2,100000,64207,3298,3298,3298,0,0,3.298,3.298,3.298
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,1.3,100000,59815,3897,3897,3897,0,0,3.897,3.897,3.897
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,1.4,100000,55835,4534,4534,4534,0,0,4.534,4.534,4.534
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,1.5,100000,52264,5031,5031,5031,0,0,5.031,5.031,5.031
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,1.6,100000,49185,5549,5549,5549,0,0,5.549,5.549,5.549
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,1.8,100000,43859,6297,6297,6297,0,0,6.297,6.297,6.297
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,2.0,100000,39646,6898,6898,6898,0,0,6.898,6.898,6.898
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,2.2,100000,36255,7409,7409,7409,0,0,7.409,7.409,7.409
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,2.4,100000,33511,7744,7744,7744,0,0,7.744,7.744,7.744
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,2.6,100000,31160,8012,8012,8012,0,0,8.012,8.012,8.012
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,2.8,100000,29247,8262,8262,8262,0,0,8.262,8.262,8.262
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,3.0,100000,27575,8383,8383,8383,0,0,8.383,8.383,8.383
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,3.2,100000,26110,8504,8504,8504,0,0,8.504,8.504,8.504
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,3.4,100000,24845,8640,8640,8640,0,0,8.64,8.64,8.64
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,3.6,100000,23772,8767,8767,8767,0,0,8.767,8.767,8.767
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,3.8,100000,22721,8772,8772,8772,0,0,8.772,8.772,8.772
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,4.0,100000,21868,8826,8826,8826,0,0,8.826,8.826,8.826
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,5.0,100000,18465,8747,8747,8747,0,0,8.747,8.747,8.747
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,6.0,100000,16192,8506,8506,8506,0,0,8.506,8.506,8.506
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,7.0,100000,14593,8163,8163,8163,0,0,8.163,8.163,8.163
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,8.0,100000,13337,7849,7849,7849,0,0,7.849,7.849,7.849
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,9.0,100000,12361,7506,7506,7506,0,0,7.506,7.506,7.506
NEW_RMT_1838_Type2_VFreeze_Unequal3,34,0.1,0.0,10.0,10.0,100000,11571,7210,7210,7210,0,0,7.21,7.21,7.21
