config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.3,500000,499997,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.4,500000,499589,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.5,500000,495402,15,15,15,0,0,0,0.003,0.003,0.003
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.58,500000,485969,94,94,94,0,0,0,0.0188,0.0188,0.0188
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.6,500000,482642,122,122,122,0,0,0,0.0244,0.0244,0.0244
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.7,500000,460746,382,382,382,0,0,0,0.0764,0.0764,0.0764
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.8,500000,433299,863,863,863,0,0,0,0.1726,0.1726,0.1726
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,0.9,500000,403836,1593,1593,1593,0,0,0,0.3186,0.3186,0.3186
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,1.0,500000,374316,2436,2436,2436,0,0,0,0.4872,0.4872,0.4872
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,1.1,500000,346971,3552,3552,3552,0,0,0,0.7104,0.7104,0.7104
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,1.2,500000,321807,4604,4604,4604,0,0,0,0.9208,0.9208,0.9208
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,1.3,500000,299433,5811,5811,5811,0,0,0,1.1622,1.1622,1.1622
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,1.4,500000,279507,6990,6990,6990,0,0,0,1.398,1.398,1.398
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,1.5,500000,261652,8125,8125,8125,0,0,0,1.625,1.625,1.625
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,1.6,500000,245893,9096,9096,9096,0,0,0,1.8192,1.8192,1.8192
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,1.8,500000,219308,11138,11138,11138,0,0,0,2.2276,2.2276,2.2276
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,2.0,500000,198117,12814,12814,12814,0,0,0,2.5628,2.5628,2.5628
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,2.2,500000,181074,14283,14283,14283,0,0,0,2.8566,2.8566,2.8566
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,2.4,500000,167376,15394,15394,15394,0,0,0,3.0788,3.0788,3.0788
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,2.6,500000,155692,16301,16301,16301,0,0,0,3.2602,3.2602,3.2602
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,2.8,500000,145962,17052,17052,17052,0,0,0,3.4104,3.4104,3.4104
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,3.0,500000,137606,17689,17689,17689,0,0,0,3.5378,3.5378,3.5378
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,3.2,500000,130544,18241,18241,18241,0,0,0,3.6482,3.6482,3.6482
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,3.4,500000,124265,18661,18661,18661,0,0,0,3.7322,3.7322,3.7322
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,3.6,500000,118713,18999,18999,18999,0,0,0,3.7998,3.7998,3.7998
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,3.8,500000,113873,19211,19211,19211,0,0,0,3.8422,3.8422,3.8422
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,4.0,500000,109475,19319,19319,19319,0,0,0,3.8638,3.8638,3.8638
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,4.5,500000,100262,19571,19571,19571,0,0,0,3.9142,3.9142,3.9142
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,5.0,500000,92855,19519,19519,19519,0,0,0,3.9038,3.9038,3.9038
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,5.5,500000,86748,19412,19412,19412,0,0,0,3.8824,3.8824,3.8824
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,6.0,500000,81561,19098,19098,19097,1,0,0,3.8196,3.8196,3.8194
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,7.0,500000,73467,18422,18422,18412,10,0,0,3.6844,3.6844,3.6824
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,8.0,500000,67093,17598,17598,17565,33,0,0,3.5196,3.5196,3.513
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,9.0,500000,62006,16802,16802,16705,97,0,0,3.3604,3.3604,3.341
NEW_RMT_1838_Type2_VFreeze_Unequal5,36,1.0,0.0,10.0,10.0,500000,57917,16072,16072,15872,200,0,0,3.2144,3.2144,3.1744
