config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.3,500000,499997,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.4,500000,499589,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.5,500000,495402,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.58,500000,485969,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.6,500000,482642,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.7,500000,460746,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.8,500000,433299,4,4,4,0,0,0,0.0008,0.0008,0.0008
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,0.9,500000,403836,22,22,22,0,0,0,0.0044,0.0044,0.0044
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,1.0,500000,374316,53,53,53,0,0,0,0.0106,0.0106,0.0106
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,1.1,500000,346971,119,119,119,0,0,0,0.0238,0.0238,0.0238
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,1.2,500000,321807,248,248,248,0,0,0,0.0496,0.0496,0.0496
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,1.3,500000,299433,393,393,393,0,0,0,0.0786,0.0786,0.0786
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,1.4,500000,279507,611,611,611,0,0,0,0.1222,0.1222,0.1222
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,1.5,500000,261652,854,854,854,0,0,0,0.1708,0.1708,0.1708
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,1.6,500000,245893,1127,1127,1127,0,0,0,0.2254,0.2254,0.2254
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,1.8,500000,219308,1793,1793,1793,0,0,0,0.3586,0.3586,0.3586
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,2.0,500000,198117,2524,2524,2524,0,0,0,0.5048,0.5048,0.5048
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,2.2,500000,181074,3412,3412,3412,0,0,0,0.6824,0.6824,0.6824
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,2.4,500000,167376,4315,4315,4315,0,0,0,0.863,0.863,0.863
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,2.6,500000,155692,5149,5149,5149,0,0,0,1.0298,1.0298,1.0298
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,2.8,500000,145962,5866,5866,5866,0,0,0,1.1732,1.1732,1.1732
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,3.0,500000,137606,6707,6707,6707,0,0,0,1.3414,1.3414,1.3414
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,3.2,500000,130544,7453,7453,7453,0,0,0,1.4906,1.4906,1.4906
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,3.4,500000,124265,8110,8110,8110,0,0,0,1.622,1.622,1.622
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,3.6,500000,118713,8807,8807,8807,0,0,0,1.7614,1.7614,1.7614
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,3.8,500000,113873,9384,9384,9384,0,0,0,1.8768,1.8768,1.8768
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,4.0,500000,109475,9892,9892,9892,0,0,0,1.9784,1.9784,1.9784
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,4.5,500000,100262,11183,11183,11183,0,0,0,2.2366,2.2366,2.2366
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,5.0,500000,92855,12223,12223,12223,0,0,0,2.4446,2.4446,2.4446
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,5.5,500000,86748,13080,13080,13080,0,0,0,2.616,2.616,2.616
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,6.0,500000,81561,13679,13679,13679,0,0,0,2.7358,2.7358,2.7358
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,7.0,500000,73467,14607,14607,14607,0,0,0,2.9214,2.9214,2.9214
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,8.0,500000,67093,15238,15238,15238,0,0,0,3.0476,3.0476,3.0476
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,9.0,500000,62006,15564,15564,15564,0,0,0,3.1128,3.1128,3.1128
NEW_RMT_1838_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,10.0,500000,57917,15848,15848,15848,0,0,0,3.1696,3.1696,3.1696
