config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.3,500000,499997,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.4,500000,499589,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.5,500000,495402,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.58,500000,485969,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.6,500000,482642,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.7,500000,460746,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.8,500000,433299,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,0.9,500000,403836,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,1.0,500000,374316,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,1.1,500000,346971,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,1.2,500000,321807,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,1.3,500000,299433,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,1.4,500000,279507,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,1.5,500000,261652,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,1.6,500000,245893,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,1.8,500000,219308,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,2.0,500000,198117,3,3,3,0,0,0,0.0006,0.0006,0.0006
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,2.2,500000,181074,3,3,3,0,0,0,0.0006,0.0006,0.0006
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,2.4,500000,167376,9,9,9,0,0,0,0.0018,0.0018,0.0018
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,2.6,500000,155692,18,18,18,0,0,0,0.0036,0.0036,0.0036
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,2.8,500000,145962,27,27,27,0,0,0,0.0054,0.0054,0.0054
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,3.0,500000,137606,51,51,51,0,0,0,0.0102,0.0102,0.0102
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,3.2,500000,130544,83,83,83,0,0,0,0.0166,0.0166,0.0166
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,3.4,500000,124265,106,106,106,0,0,0,0.0212,0.0212,0.0212
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,3.6,500000,118713,140,140,140,0,0,0,0.028,0.028,0.028
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,3.8,500000,113873,181,181,181,0,0,0,0.0362,0.0362,0.0362
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,4.0,500000,109475,268,268,268,0,0,0,0.0536,0.0536,0.0536
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,4.5,500000,100262,479,479,479,0,0,0,0.0958,0.0958,0.0958
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,5.0,500000,92855,706,706,706,0,0,0,0.1412,0.1412,0.1412
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,5.5,500000,86748,963,963,963,0,0,0,0.1926,0.1926,0.1926
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,6.0,500000,81561,1258,1258,1257,1,0,0,0.2516,0.2516,0.2514
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,7.0,500000,73467,1834,1834,1821,13,0,0,0.3668,0.3668,0.3642
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,8.0,500000,67093,2370,2370,2323,47,0,0,0.474,0.474,0.4646
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,9.0,500000,62006,2857,2857,2717,140,0,0,0.5714,0.5714,0.5434
NEW_RMT_1838_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,10.0,500000,57917,3316,3316,3049,267,0,0,0.6632,0.6632,0.6098
