config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,0.3,100000,99999,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,0.4,100000,99921,2,2,2,0,0,0.002,0.002,0.002
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,0.5,100000,99071,57,57,57,0,0,0.057,0.057,0.057
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,0.6,100000,96487,205,205,205,0,0,0.205,0.205,0.205
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,0.7,100000,92090,481,481,481,0,0,0.481,0.481,0.481
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,0.8,100000,86592,1002,1002,1002,0,0,1.002,1.002,1.002
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,0.9,100000,80635,1520,1520,1520,0,0,1.52,1.52,1.52
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,1.0,100000,74716,2179,2179,2179,0,0,2.179,2.179,2.179
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,1.1,100000,69240,2833,2833,2833,0,0,2.833,2.833,2.833
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,1.2,100000,64207,3419,3419,3419,0,0,3.419,3.419,3.419
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,1.3,100000,59815,4051,4051,4051,0,0,4.051,4.051,4.051
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,1.4,100000,55835,4696,4696,4696,0,0,4.696,4.696,4.696
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,1.5,100000,52264,5217,5217,5217,0,0,5.217,5.217,5.217
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,1.6,100000,49185,5771,5771,5771,0,0,5.771,5.771,5.771
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,1.8,100000,43859,6539,6539,6539,0,0,6.539,6.539,6.539
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,2.0,100000,39646,7189,7189,7189,0,0,7.189,7.189,7.189
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,2.2,100000,36255,7734,7734,7734,0,0,7.734,7.734,7.734
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,2.4,100000,33511,8065,8065,8065,0,0,8.065,8.065,8.065
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,2.6,100000,31160,8365,8365,8365,0,0,8.365,8.365,8.365
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,2.8,100000,29247,8653,8653,8653,0,0,8.653,8.653,8.653
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,3.0,100000,27575,8823,8823,8823,0,0,8.823,8.823,8.823
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,3.2,100000,26110,8944,8944,8944,0,0,8.944,8.944,8.944
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,3.4,100000,24845,9097,9097,9097,0,0,9.097,9.097,9.097
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,3.6,100000,23772,9241,9241,9241,0,0,9.241,9.241,9.241
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,3.8,100000,22721,9256,9256,9256,0,0,9.256,9.256,9.256
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,4.0,100000,21868,9311,9311,9311,0,0,9.311,9.311,9.311
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,5.0,100000,18465,9360,9360,9360,0,0,9.36,9.36,9.36
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,6.0,100000,16192,9085,9085,9085,0,0,9.085,9.085,9.085
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,7.0,100000,14593,8792,8792,8792,0,0,8.792,8.792,8.792
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,8.0,100000,13337,8466,8466,8466,0,0,8.466,8.466,8.466
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,9.0,100000,12361,8179,8179,8179,0,0,8.179,8.179,8.179
NEW_RMT_1838_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,10.0,100000,11571,7907,7907,7907,0,0,7.907,7.907,7.907
