config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,0.3,1000000,999995,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,0.4,1000000,999152,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,0.5,1000000,990909,33,33,33,0,0,0.0033,0.0033,0.0033
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,0.6,1000000,965101,230,230,230,0,0,0.023,0.023,0.023
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,0.7,1000000,921389,779,779,779,0,0,0.0779,0.0779,0.0779
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,0.8,1000000,866412,1764,1764,1764,0,0,0.1764,0.1764,0.1764
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,0.9,1000000,807333,3192,3192,3192,0,0,0.3192,0.3192,0.3192
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,1.0,1000000,748366,4917,4917,4917,0,0,0.4917,0.4917,0.4917
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,1.1,1000000,693389,6970,6970,6970,0,0,0.697,0.697,0.697
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,1.2,1000000,643344,9154,9154,9154,0,0,0.9154,0.9154,0.9154
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,1.3,1000000,598461,11361,11361,11361,0,0,1.1361,1.1361,1.1361
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,1.4,1000000,558541,13727,13727,13727,0,0,1.3727,1.3727,1.3727
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,1.5,1000000,523011,16023,16023,16023,0,0,1.6023,1.6023,1.6023
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,1.6,1000000,491452,18053,18053,18053,0,0,1.8053,1.8053,1.8053
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,1.8,1000000,438479,22152,22152,22152,0,0,2.2152,2.2152,2.2152
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,2.0,1000000,396324,25506,25506,25506,0,0,2.5506,2.5506,2.5506
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,2.2,1000000,362272,28380,28380,28380,0,0,2.838,2.838,2.838
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,2.4,1000000,334523,30615,30615,30615,0,0,3.0615,3.0615,3.0615
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,2.6,1000000,311134,32566,32566,32566,0,0,3.2566,3.2566,3.2566
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,2.8,1000000,291674,34136,34136,34136,0,0,3.4136,3.4136,3.4136
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,3.0,1000000,275040,35429,35429,35429,0,0,3.5429,3.5429,3.5429
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,3.2,1000000,260769,36440,36440,36440,0,0,3.644,3.644,3.644
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,3.4,1000000,248235,37287,37287,37287,0,0,3.7287,3.7287,3.7287
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,3.6,1000000,237148,37830,37830,37830,0,0,3.783,3.783,3.783
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,3.8,1000000,227488,38442,38442,38442,0,0,3.8442,3.8442,3.8442
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,4.0,1000000,218742,38712,38712,38712,0,0,3.8712,3.8712,3.8712
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,5.0,1000000,185761,39033,39033,39033,0,0,3.9033,3.9033,3.9033
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,6.0,1000000,163400,38277,38277,38277,0,0,3.8277,3.8277,3.8277
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,7.0,1000000,147046,36863,36863,36863,0,0,3.6863,3.6863,3.6863
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,8.0,1000000,134318,35215,35215,35215,0,0,3.5215,3.5215,3.5215
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,9.0,1000000,124066,33647,33647,33647,0,0,3.3647,3.3647,3.3647
RMT_1838_DDC_Type1,0,1.0,0.0,10.0,10.0,1000000,115782,32043,32043,32043,0,0,3.2043,3.2043,3.2043
