config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,0.3,1000000,999995,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,0.4,1000000,999152,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,0.5,1000000,990909,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,0.6,1000000,965101,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,0.7,1000000,921389,1,1,1,0,0,0.0001,0.0001,0.0001
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,0.8,1000000,866412,15,15,15,0,0,0.0015,0.0015,0.0015
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,0.9,1000000,807333,44,44,44,0,0,0.0044,0.0044,0.0044
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,1.0,1000000,748366,121,121,121,0,0,0.0121,0.0121,0.0121
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,1.1,1000000,693389,273,273,273,0,0,0.0273,0.0273,0.0273
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,1.2,1000000,643344,488,488,488,0,0,0.0488,0.0488,0.0488
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,1.3,1000000,598461,784,784,784,0,0,0.0784,0.0784,0.0784
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,1.4,1000000,558541,1237,1237,1237,0,0,0.1237,0.1237,0.1237
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,1.5,1000000,523011,1716,1716,1716,0,0,0.1716,0.1716,0.1716
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,1.6,1000000,491452,2275,2275,2275,0,0,0.2275,0.2275,0.2275
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,1.8,1000000,438479,3666,3666,3666,0,0,0.3666,0.3666,0.3666
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,2.0,1000000,396324,5229,5229,5229,0,0,0.5229,0.5229,0.5229
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,2.2,1000000,362272,6948,6948,6948,0,0,0.6948,0.6948,0.6948
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,2.4,1000000,334523,8722,8722,8722,0,0,0.8722,0.8722,0.8722
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,2.6,1000000,311134,10425,10425,10425,0,0,1.0425,1.0425,1.0425
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,2.8,1000000,291674,11988,11988,11988,0,0,1.1988,1.1988,1.1988
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,3.0,1000000,275040,13566,13566,13566,0,0,1.3566,1.3566,1.3566
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,3.2,1000000,260769,15024,15024,15024,0,0,1.5024,1.5024,1.5024
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,3.4,1000000,248235,16363,16363,16363,0,0,1.6363,1.6363,1.6363
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,3.6,1000000,237148,17599,17599,17599,0,0,1.7599,1.7599,1.7599
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,3.8,1000000,227488,18825,18825,18825,0,0,1.8825,1.8825,1.8825
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,4.0,1000000,218742,19925,19925,19925,0,0,1.9925,1.9925,1.9925
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,5.0,1000000,185761,24565,24565,24565,0,0,2.4565,2.4565,2.4565
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,6.0,1000000,163400,27561,27561,27561,0,0,2.7561,2.7561,2.7561
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,7.0,1000000,147046,29470,29470,29470,0,0,2.947,2.947,2.947
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,8.0,1000000,134318,30780,30780,30780,0,0,3.078,3.078,3.078
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,9.0,1000000,124066,31379,31379,31379,0,0,3.1379,3.1379,3.1379
RMT_1838_DDC_Type3_Equal,11,0.0,1.0,1.0,10.0,1000000,115782,31745,31745,31745,0,0,3.1745,3.1745,3.1745
