config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,0.3,1000000,999995,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,0.4,1000000,999152,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,0.5,1000000,990909,45,45,45,0,0,0.0045,0.0045,0.0045
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,0.6,1000000,965101,367,367,367,0,0,0.0367,0.0367,0.0367
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,0.7,1000000,921389,1209,1209,1209,0,0,0.1209,0.1209,0.1209
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,0.8,1000000,866412,2657,2657,2657,0,0,0.2657,0.2657,0.2657
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,0.9,1000000,807333,4841,4841,4841,0,0,0.4841,0.4841,0.4841
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,1.0,1000000,748366,7371,7371,7371,0,0,0.7371,0.7371,0.7371
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,1.1,1000000,693389,10420,10420,10420,0,0,1.042,1.042,1.042
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,1.2,1000000,643344,13672,13672,13672,0,0,1.3672,1.3672,1.3672
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,1.3,1000000,598461,17007,17007,17007,0,0,1.7007,1.7007,1.7007
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,1.4,1000000,558541,20436,20436,20436,0,0,2.0436,2.0436,2.0436
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,1.5,1000000,523011,23806,23806,23806,0,0,2.3806,2.3806,2.3806
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,1.6,1000000,491452,27078,27078,27078,0,0,2.7078,2.7078,2.7078
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,1.8,1000000,438479,33237,33237,33237,0,0,3.3237,3.3237,3.3237
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,2.0,1000000,396324,38426,38426,38426,0,0,3.8426,3.8426,3.8426
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,2.2,1000000,362272,43001,43001,43001,0,0,4.3001,4.3001,4.3001
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,2.4,1000000,334523,46764,46764,46764,0,0,4.6764,4.6764,4.6764
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,2.6,1000000,311134,50122,50122,50122,0,0,5.0122,5.0122,5.0122
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,2.8,1000000,291674,52918,52918,52918,0,0,5.2918,5.2918,5.2918
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,3.0,1000000,275040,55249,55249,55249,0,0,5.5249,5.5249,5.5249
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,3.2,1000000,260769,57288,57288,57288,0,0,5.7288,5.7288,5.7288
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,3.4,1000000,248235,58943,58943,58943,0,0,5.8943,5.8943,5.8943
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,3.6,1000000,237148,60225,60225,60225,0,0,6.0225,6.0225,6.0225
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,3.8,1000000,227488,61505,61505,61505,0,0,6.1505,6.1505,6.1505
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,4.0,1000000,218742,62639,62639,62639,0,0,6.2639,6.2639,6.2639
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,5.0,1000000,185761,65189,65189,65189,0,0,6.5189,6.5189,6.5189
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,6.0,1000000,163400,65582,65582,65582,0,0,6.5582,6.5582,6.5582
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,7.0,1000000,147046,65092,65092,65092,0,0,6.5092,6.5092,6.5092
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,8.0,1000000,134318,63792,63792,63792,0,0,6.3792,6.3792,6.3792
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,9.0,1000000,124066,62256,62256,62255,1,0,6.2256,6.2256,6.2255
RMT_1838_DDC_Type3_Unequal1,12,0.0,0.1,1.0,10.0,1000000,115782,60624,60624,60615,9,0,6.0624,6.0624,6.0615
