config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,0.3,1000000,999995,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,0.4,1000000,999152,80,80,0,80,0,0.008,0.008,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,0.5,1000000,990909,1089,1089,0,1089,0,0.1089,0.1089,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,0.6,1000000,965101,4102,4102,0,4102,0,0.4102,0.4102,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,0.7,1000000,921389,9669,9669,0,9669,0,0.9669,0.9669,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,0.8,1000000,866412,16797,16797,0,16797,0,1.6797,1.6797,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,0.9,1000000,807333,25459,25459,0,25459,0,2.5459,2.5459,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,1.0,1000000,748366,33908,33908,0,33908,0,3.3908,3.3908,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,1.1,1000000,693389,42438,42438,0,42438,0,4.2438,4.2438,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,1.2,1000000,643344,50477,50477,0,50477,0,5.0477,5.0477,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,1.3,1000000,598461,58322,58322,0,58322,0,5.8322,5.8322,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,1.4,1000000,558541,65326,65326,0,65326,0,6.5326,6.5326,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,1.5,1000000,523011,71871,71871,0,71871,0,7.1871,7.1871,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,1.6,1000000,491452,77584,77584,0,77584,0,7.7584,7.7584,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,1.8,1000000,438479,86879,86879,0,86879,0,8.6879,8.6879,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,2.0,1000000,396324,94184,94184,0,94184,0,9.4184,9.4184,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,2.2,1000000,362272,99713,99713,0,99713,0,9.9713,9.9713,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,2.4,1000000,334523,104278,104278,0,104278,0,10.4278,10.4278,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,2.6,1000000,311134,107333,107333,0,107333,0,10.7333,10.7333,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,2.8,1000000,291674,109342,109342,0,109342,0,10.9342,10.9342,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,3.0,1000000,275040,111020,111020,0,111020,0,11.102,11.102,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,3.2,1000000,260769,112341,112341,0,112341,0,11.2341,11.2341,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,3.4,1000000,248235,113282,113282,0,113282,0,11.3282,11.3282,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,3.6,1000000,237148,113539,113539,0,113539,0,11.3539,11.3539,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,3.8,1000000,227488,113615,113615,0,113615,0,11.3615,11.3615,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,4.0,1000000,218742,113544,113544,0,113544,0,11.3544,11.3544,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,5.0,1000000,185761,110953,110953,0,110953,0,11.0953,11.0953,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,6.0,1000000,163400,106412,106412,0,106412,0,10.6412,10.6412,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,7.0,1000000,147046,101355,101355,0,101355,0,10.1355,10.1355,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,8.0,1000000,134318,96277,96277,0,96277,0,9.6277,9.6277,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,9.0,1000000,124066,91492,91492,0,91492,0,9.1492,9.1492,0.0
RMT_1838_DDC_Type3_Var1,16,0.0,0.0,1.0,10.0,1000000,115782,87199,87199,0,87199,0,8.7199,8.7199,0.0
