config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,0.3,1000000,999995,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,0.4,1000000,999152,0,0,0,0,0,0.0,0.0,0.0
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,0.5,1000000,990909,5,5,5,0,0,0.0005,0.0005,0.0005
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,0.6,1000000,965101,66,66,66,0,0,0.0066,0.0066,0.0066
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,0.7,1000000,921389,249,249,249,0,0,0.0249,0.0249,0.0249
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,0.8,1000000,866412,672,672,672,0,0,0.0672,0.0672,0.0672
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,0.9,1000000,807333,1322,1322,1322,0,0,0.1322,0.1322,0.1322
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,1.0,1000000,748366,2243,2243,2243,0,0,0.2243,0.2243,0.2243
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,1.1,1000000,693389,3322,3322,3322,0,0,0.3322,0.3322,0.3322
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,1.2,1000000,643344,4680,4680,4680,0,0,0.468,0.468,0.468
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,1.3,1000000,598461,6025,6025,6025,0,0,0.6025,0.6025,0.6025
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,1.4,1000000,558541,7452,7452,7452,0,0,0.7452,0.7452,0.7452
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,1.5,1000000,523011,9126,9126,9126,0,0,0.9126,0.9126,0.9126
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,1.6,1000000,491452,10645,10645,10645,0,0,1.0645,1.0645,1.0645
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,1.8,1000000,438479,13533,13533,13533,0,0,1.3533,1.3533,1.3533
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,2.0,1000000,396324,16182,16182,16182,0,0,1.6182,1.6182,1.6182
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,2.2,1000000,362272,18698,18698,18698,0,0,1.8698,1.8698,1.8698
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,2.4,1000000,334523,20529,20529,20529,0,0,2.0529,2.0529,2.0529
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,2.6,1000000,311134,22257,22257,22257,0,0,2.2257,2.2257,2.2257
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,2.8,1000000,291674,23740,23740,23740,0,0,2.374,2.374,2.374
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,3.0,1000000,275040,24953,24953,24953,0,0,2.4953,2.4953,2.4953
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,3.2,1000000,260769,26040,26040,26040,0,0,2.604,2.604,2.604
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,3.4,1000000,248235,26925,26925,26925,0,0,2.6925,2.6925,2.6925
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,3.6,1000000,237148,27625,27625,27625,0,0,2.7625,2.7625,2.7625
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,3.8,1000000,227488,28271,28271,28271,0,0,2.8271,2.8271,2.8271
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,4.0,1000000,218742,28813,28813,28813,0,0,2.8813,2.8813,2.8813
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,5.0,1000000,185761,30023,30023,30023,0,0,3.0023,3.0023,3.0023
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,6.0,1000000,163400,30009,30009,30009,0,0,3.0009,3.0009,3.0009
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,7.0,1000000,147046,29478,29478,29478,0,0,2.9478,2.9478,2.9478
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,8.0,1000000,134318,28621,28621,28621,0,0,2.8621,2.8621,2.8621
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,9.0,1000000,124066,27550,27550,27550,0,0,2.755,2.755,2.755
RMT_1838_DDC_Var1,1,1.0,1.0,10.0,10.0,1000000,115782,26474,26474,26474,0,0,2.6474,2.6474,2.6474
