config_name,config_id,dU,dV,dW,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_LHS_3954_Type1_Control,0,1.0,1.0,1.0,1000000,969615,951296,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_LHS_3954_Type1_UFast_Unequal1,1,10.0,1.0,1.0,1000000,969615,951296,177,177,177,0,0,0,0.0177,0.0177,0.0177
FINAL_LHS_3954_Type1_UFast_Unequal2,2,1.0,0.1,0.1,1000000,969615,951296,177,177,177,0,0,0,0.0177,0.0177,0.0177
FINAL_LHS_3954_Type1_UFast_Unequal3,3,10.0,0.1,1.0,1000000,969615,951296,503,503,503,0,0,0,0.0503,0.0503,0.0503
FINAL_LHS_3954_Type1_UFast_Unequal4,4,10.0,1.0,0.1,1000000,969615,951296,1569,1569,1569,0,0,0,0.1569,0.1569,0.1569
FINAL_LHS_3954_Type1_UFast_Unequal5,5,10.0,0.1,0.1,1000000,969615,951296,3405,3405,3405,0,0,0,0.3405,0.3405,0.3405
FINAL_LHS_3954_Type1_VFast_Unequal1,6,1.0,10.0,1.0,1000000,969615,951296,97,97,95,0,2,0,0.0097,0.0097,0.0095
FINAL_LHS_3954_Type1_VFast_Unequal2,7,0.1,1.0,0.1,1000000,969615,951296,98,98,96,0,2,0,0.0098,0.0098,0.0096
FINAL_LHS_3954_Type1_VFast_Unequal3,8,0.1,10.0,1.0,1000000,969615,951296,2420,2420,2411,0,9,0,0.242,0.242,0.2411
FINAL_LHS_3954_Type1_VFast_Unequal4,9,1.0,10.0,0.1,1000000,969615,951296,143,149,141,0,8,0,0.0143,0.0149,0.0141
FINAL_LHS_3954_Type1_VFast_Unequal5,10,0.1,10.0,0.1,1000000,969615,951296,2365,2367,2259,0,108,0,0.2365,0.2367,0.2259
FINAL_LHS_3954_Type1_VWFast_Unequal1,11,1.0,10.0,10.0,1000000,969615,951296,111,111,111,0,0,0,0.0111,0.0111,0.0111
FINAL_LHS_3954_Type1_VWFast_Unequal2,12,0.1,1.0,1.0,1000000,969615,951296,113,113,113,0,0,0,0.0113,0.0113,0.0113
FINAL_LHS_3954_Type1_VWFast_Unequal3,13,0.1,10.0,10.0,1000000,969615,951296,2497,2497,2497,0,0,0,0.2497,0.2497,0.2497
FINAL_LHS_3954_Type1_UVFast_Unequal1,14,10.0,10.0,1.0,1000000,969615,951296,47,47,47,0,0,0,0.0047,0.0047,0.0047
FINAL_LHS_3954_Type1_UVFast_Unequal2,15,1.0,1.0,0.1,1000000,969615,951296,47,47,47,0,0,0,0.0047,0.0047,0.0047
FINAL_LHS_3954_Type1_UVFast_Unequal3,16,10.0,10.0,0.1,1000000,969615,951296,364,364,364,0,0,0,0.0364,0.0364,0.0364
FINAL_LHS_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,1000000,969615,951296,19,19,19,0,0,0,0.0019,0.0019,0.0019
FINAL_LHS_3954_Type2_VFreeze_Equal2,18,0.1,0.0,0.1,1000000,969615,951296,19,19,19,0,0,0,0.0019,0.0019,0.0019
FINAL_LHS_3954_Type2_VFreeze_Equal3,19,10.0,0.0,10.0,1000000,969615,951296,19,19,19,0,0,0,0.0019,0.0019,0.0019
FINAL_LHS_3954_Type2_VFreeze_Unequal1,20,0.1,0.0,1.0,1000000,969615,951296,2,2,2,0,0,0,0.0002,0.0002,0.0002
FINAL_LHS_3954_Type2_VFreeze_Unequal2,21,1.0,0.0,0.1,1000000,969615,951296,709,709,709,0,0,0,0.0709,0.0709,0.0709
FINAL_LHS_3954_Type2_VFreeze_Unequal3,22,0.1,0.0,10.0,1000000,969615,951296,29,30,29,0,1,0,0.0029,0.003,0.0029
FINAL_LHS_3954_Type2_VFreeze_Unequal4,23,10.0,0.0,0.1,1000000,969615,951296,4625,4625,4625,0,0,0,0.4625,0.4625,0.4625
FINAL_LHS_3954_Type2_VFreeze_Unequal5,24,1.0,0.0,10.0,1000000,969615,951296,2,2,2,0,0,0,0.0002,0.0002,0.0002
FINAL_LHS_3954_Type2_VFreeze_Unequal6,25,10.0,0.0,1.0,1000000,969615,951296,707,707,707,0,0,0,0.0707,0.0707,0.0707
FINAL_LHS_3954_Type3_UFreeze_Equal1,26,0.0,1.0,1.0,1000000,969615,951296,6700,6700,0,0,0,6700,0.67,0.67,0.0
FINAL_LHS_3954_Type3_UFreeze_Equal2,27,0.0,0.1,0.1,1000000,969615,951296,6030,6030,0,0,0,6030,0.603,0.603,0.0
FINAL_LHS_3954_Type3_UFreeze_Equal3,28,0.0,10.0,10.0,1000000,969615,951296,6757,6757,0,0,0,6757,0.6757,0.6757,0.0
FINAL_LHS_3954_Type3_UFreeze_Unequal1,29,0.0,1.0,0.1,1000000,969615,951296,6701,6701,1,0,11,6689,0.6701,0.6701,0.0001
FINAL_LHS_3954_Type3_UFreeze_Unequal2,30,0.0,0.1,1.0,1000000,969615,951296,6033,6033,0,0,0,6033,0.6033,0.6033,0.0
FINAL_LHS_3954_Type3_UFreeze_Unequal3,31,0.0,10.0,1.0,1000000,969615,951296,6758,6758,1,0,11,6746,0.6758,0.6758,0.0001
FINAL_LHS_3954_Type3_UFreeze_Unequal4,32,0.0,1.0,10.0,1000000,969615,951296,6700,6700,0,0,0,6700,0.67,0.67,0.0
FINAL_LHS_3954_Type3_UFreeze_Unequal5,33,0.0,0.1,10.0,1000000,969615,951296,6033,6033,0,0,1,6032,0.6033,0.6033,0.0
FINAL_LHS_3954_Type3_UFreeze_Unequal6,34,0.0,10.0,0.1,1000000,969615,951296,6784,6784,27,0,149,6608,0.6784,0.6784,0.0027
FINAL_LHS_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,1000000,969615,951296,658,658,362,275,0,21,0.0658,0.0658,0.0362
FINAL_LHS_3954_Type3_WFreeze_Equal2,36,0.1,0.1,0.0,1000000,969615,951296,657,657,345,217,0,95,0.0657,0.0657,0.0345
FINAL_LHS_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,1000000,969615,951296,657,657,363,291,0,3,0.0657,0.0657,0.0363
FINAL_LHS_3954_Type3_WFreeze_Unequal1,38,1.0,0.1,0.0,1000000,969615,951296,2837,2837,2518,297,0,22,0.2837,0.2837,0.2518
FINAL_LHS_3954_Type3_WFreeze_Unequal2,39,0.1,1.0,0.0,1000000,969615,951296,404,414,108,203,11,92,0.0404,0.0414,0.0108
