config_name,config_id,dU,dV,dW,param_rank,max_growth_rate,alpha_u,beta_u,K_uu,K_vu,delta_u,alpha_v,beta_v,K_uv,K_wv,delta_v,alpha_w,beta_w,K_ww,K_uw,K_vw,delta_w,u_star,v_star,w_star
NEW_LHS_3954_Type1_V1_Equal,0,10.0,1.0,1.0,1,0.08279455242227657,0.007077433094880293,1.4462479436287767,0.09245163265235273,0.26723942500123793,0.2436592755887972,0.005889422851713758,8.605716327777886,0.09207924851486214,0.12961324370483618,0.7777816957281338,0.0038604827469243463,1.6570791267318754,0.030767002915064585,0.9136856426323211,0.2649648697111866,0.18465525821355344,0.11797954202781268,1.697547444477265,0.22705338297596256
NEW_LHS_3954_Type1_V1_Equal,0,10.0,1.0,1.0,2,0.04305180595760454,0.0011030423156000722,2.612038562063156,0.49341600148889686,0.02047859457878216,0.12320093493895828,0.005194706598687822,7.410581232828214,0.7560831186328322,0.010387853879953462,0.7599987203570641,0.0014920971997272631,0.812498999763434,0.1698252150410207,0.1183822510610587,0.0732728616391616,0.254250477834721,0.09707806466415439,0.05779825477591795,0.015064273829860737
NEW_LHS_3954_Type1_V2_Equal,2,1.0,10.0,1.0,1,0.07409339092921186,0.0012439980107830822,3.031445046031262,0.28964461103049627,0.45044950869680656,0.481921186509506,0.01932526339133328,1.6666693675213957,0.05424412402559645,0.12938127126798546,0.5374779247482193,0.01540989479757631,3.4648948983016696,0.1548787996469711,0.05810057355098212,0.017083865883800023,0.6306202039626156,0.018793465057958335,0.3565788505410507,0.02471905537920092
NEW_LHS_3954_Type1_V2_Equal,2,1.0,10.0,1.0,2,0.029661206166285283,0.004344522170183175,2.4309562728941367,0.1381096196954199,0.49185001997892,0.35999027059101507,0.005612391407678795,0.505134566539494,0.028180814551482542,0.0565386028977159,0.15519718286087583,0.001876994422996388,1.5068222027890215,0.2571779301456859,0.8491274703594444,0.013304908668263171,0.07188483343831199,0.07229881765231239,2.3647618718770915,0.026117857394211692
NEW_LHS_3954_Type1_V4_Equal,4,1.0,10.0,10.0,1,0.07414159756987804,0.0012439980107830822,3.031445046031262,0.28964461103049627,0.45044950869680656,0.481921186509506,0.01932526339133328,1.6666693675213957,0.05424412402559645,0.12938127126798546,0.5374779247482193,0.01540989479757631,3.4648948983016696,0.1548787996469711,0.05810057355098212,0.017083865883800023,0.6306202039626156,0.018793465057958335,0.3565788505410507,0.02471905537920092
NEW_LHS_3954_Type1_V4_Equal,4,1.0,10.0,10.0,2,0.0344243538932435,0.004849841522576385,1.354705281073841,0.5383850971764425,0.02738905964271039,0.34494740741527175,0.01844356356756398,7.946653163157486,0.4123673662671742,0.4763876657524709,0.6506441125229365,0.03788092964082152,1.050285728284508,0.039049494209821844,0.2857378917552204,0.17899299845617078,0.06941899044573813,0.2534891120898232,0.038504574747533646,8.637501485235799
NEW_LHS_3954_Type2_V1_Equal,5,1.0,0.0,1.0,1,0.005027632311440523,0.002201776938874936,0.8862533116212677,0.019162654371672003,0.015288698513461227,0.018168230569124828,0.0014508150602289933,1.9540296645240565,0.29538810632924806,0.01226364147845615,0.017256654051896986,0.04181632103450403,2.9538016252473898,0.05640069623981754,0.4459051906171686,0.05390328989764526,0.5418844148059245,0.3181259894823886,0.23969589982348516,0.24210556423565352
NEW_LHS_3954_Type2_V1_Equal,5,1.0,0.0,1.0,2,0.003865249444055947,0.004865795620645545,3.7741059212391086,0.027173097381212093,0.026712426459600216,0.011886260085410154,0.0073615014675198175,0.22130749959774132,0.6926745987046617,0.06874584289707492,0.013603190070090025,0.014187144606358488,9.848335614422664,0.017807417441129025,0.3040693385197347,0.27168932950270286,0.5755183071459034,0.5821705489304912,1.14347173773029,0.21935704110313076
NEW_LHS_3954_Type2_V1_Unequal2,7,5.0,0.0,1.0,1,0.05179561472674799,0.007077433094880293,1.4462479436287767,0.09245163265235273,0.26723942500123793,0.2436592755887972,0.005889422851713758,8.605716327777886,0.09207924851486214,0.12961324370483618,0.7777816957281338,0.0038604827469243463,1.6570791267318754,0.030767002915064585,0.9136856426323211,0.2649648697111866,0.18465525821355344,0.11797954202781268,1.697547444477265,0.22705338297596256
NEW_LHS_3954_Type2_V1_Unequal2,7,5.0,0.0,1.0,2,0.017968549066674444,0.0018390084062568132,0.5475831811479162,0.01344654757189637,0.011216062939439315,0.32682275356841184,0.002674427238434857,5.19078880656002,0.045208654265891414,0.014599925007605406,0.10958266918818585,0.013882396312910208,1.1723126395888686,0.06984935821346713,0.03327256019286087,0.022122635066343592,0.3950945126981484,0.013216107001957309,0.11627861808088022,0.09186730396910328
