config_name,config_id,dU,dV,dW,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_LHS_3954_Type1_V1_Equal,0,10.0,1.0,1.0,1000000,969615,951296,135,135,135,0,0,0.0135,0.0135,0.0135
NEW_LHS_3954_Type1_V1_Control,1,1.0,1.0,1.0,1000000,969615,951296,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_3954_Type1_V2_Equal,2,1.0,10.0,1.0,1000000,969615,951296,82,82,81,0,1,0.0082,0.0082,0.0081
NEW_LHS_3954_Type1_V3_Equal,3,1.0,1.0,10.0,1000000,969615,951296,1,1,1,0,0,0.0001,0.0001,0.0001
NEW_LHS_3954_Type1_V4_Equal,4,1.0,10.0,10.0,1000000,969615,951296,94,94,94,0,0,0.0094,0.0094,0.0094
NEW_LHS_3954_Type2_V1_Equal,5,1.0,0.0,1.0,1000000,969615,951296,19,19,19,0,0,0.0019,0.0019,0.0019
NEW_LHS_3954_Type2_V1_Unequal1,6,1.0,0.0,5.0,1000000,969615,951296,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_3954_Type2_V1_Unequal2,7,5.0,0.0,1.0,1000000,969615,951296,243,243,243,0,0,0.0243,0.0243,0.0243
NEW_LHS_3954_Type2_V1_Unequal3,8,1.0,0.0,0.1,1000000,969615,951296,697,697,697,0,0,0.0697,0.0697,0.0697
NEW_LHS_3954_Type2_V1_Unequal4,9,0.1,0.0,1.0,1000000,969615,951296,2,2,2,0,0,0.0002,0.0002,0.0002
NEW_LHS_3954_Type2_V2_Equal,10,1.0,1.0,0.0,1000000,969615,951296,652,652,359,293,0,0.0652,0.0652,0.0359
NEW_LHS_3954_Type2_V2_Unequal1,11,5.0,1.0,0.0,1000000,969615,951296,1864,1864,1571,293,0,0.1864,0.1864,0.1571
NEW_LHS_3954_Type2_V2_Unequal2,12,1.0,5.0,0.0,1000000,969615,951296,363,365,70,293,2,0.0363,0.0365,0.007
NEW_LHS_3954_Type2_V2_Unequal3,13,1.0,0.1,0.0,1000000,969615,951296,2828,2828,2534,294,0,0.2828,0.2828,0.2534
NEW_LHS_3954_Type2_V2_Unequal4,14,0.1,1.0,0.0,1000000,969615,951296,402,412,109,293,10,0.0402,0.0412,0.0109
NEW_LHS_3954_Type2_V3_Equal,15,0.0,1.0,1.0,1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0
NEW_LHS_3954_Type3_V1_Equal,16,0.0,1.0,0.0,1000000,969615,951296,6535,6948,0,6626,322,0.6535,0.6948,0.0
NEW_LHS_3954_Type3_V2_Equal,17,0.0,1.0,1.0,1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0
NEW_LHS_3954_Type3_V3_Equal,18,1.0,1.0,0.0,1000000,969615,951296,652,652,359,293,0,0.0652,0.0652,0.0359
NEW_LHS_3954_Type3_V4_Equal,19,1.0,0.0,0.0,1000000,969615,951296,11488,11488,0,11488,0,1.1488,1.1488,0.0
NEW_LHS_3954_Type3_V4_Unequal1,20,0.1,0.0,0.0,1000000,969615,951296,10673,10673,0,10673,0,1.0673,1.0673,0.0
NEW_LHS_3954_Type3_V4_Unequal2,21,10.0,0.0,0.0,1000000,969615,951296,11572,11572,0,11572,0,1.1572,1.1572,0.0
