config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
LHS_3954_DCC_Type1,0,"{'dU': 1.0, 'dV': 10.0, 'dW': 10.0}",1000000,969615,951296,94,111,111,0,0,0.0094,0.0111,0.0111,0.0111
LHS_3954_DCC_Type1_OneFast,1,"{'dU': 1.0, 'dV': 10.0, 'dW': 1.0}",1000000,969615,951296,82,97,97,0,0,0.0082,0.0097,0.0097,0.0097
LHS_3954_DCC_Type1_Control,2,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_3954_DCC_Type2_Equal,3,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,652,658,637,21,0,0.0652,0.0658,0.0637,0.0637
LHS_3954_DCC_Type2_Unequal1,4,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,2828,2837,2815,22,0,0.2828,0.2837,0.2815,0.2815
LHS_3954_DCC_Type2_Unequal2,5,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,2764,2835,2832,3,0,0.2764,0.2835,0.2832,0.2832
LHS_3954_DCC_Type2_Limit,6,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,656,657,562,95,0,0.0656,0.0657,0.0562,0.0562
LHS_3954_DCC_Type3_Equal,7,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_DCC_Type3_Unequal1,8,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",1000000,969615,951296,6016,6033,0,6033,0,0.6016,0.6033,0.0,0.0
LHS_3954_DCC_Type3_Unequal2,9,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_DCC_Type3_Limit,10,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",1000000,969615,951296,6014,6030,0,6030,0,0.6014,0.603,0.0,0.0
LHS_3954_CDD_Type1,11,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,135,177,177,0,0,0.0135,0.0177,0.0177,0.0177
LHS_3954_CDD_Type1_Control,12,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_3954_CDD_Type2_Equal,13,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_CDD_Type2_Unequal1,14,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",1000000,969615,951296,6016,6033,0,6033,0,0.6016,0.6033,0.0,0.0
LHS_3954_CDD_Type2_Unequal2,15,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_CDD_Type2_Limit,16,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",1000000,969615,951296,6014,6030,0,6030,0,0.6014,0.603,0.0,0.0
LHS_3954_CDD_Type3_Equal,17,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,652,658,637,21,0,0.0652,0.0658,0.0637,0.0637
LHS_3954_CDD_Type3_Unequal1,18,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,2828,2837,2815,22,0,0.2828,0.2837,0.2815,0.2815
LHS_3954_CDD_Type3_Unequal2,19,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,2764,2835,2832,3,0,0.2764,0.2835,0.2832,0.2832
LHS_3954_CDD_Type3_Limit,20,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,656,657,562,95,0,0.0656,0.0657,0.0562,0.0562
LHS_3954_CCD_Type1,21,"{'dU': 10.0, 'dV': 10.0, 'dW': 1.0}",1000000,969615,951296,31,47,47,0,0,0.0031,0.0047,0.0047,0.0047
LHS_3954_CCD_Type1_OneFast,22,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,135,177,177,0,0,0.0135,0.0177,0.0177,0.0177
LHS_3954_CCD_Type1_Control,23,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_3954_CCD_Type2_Equal,24,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_CCD_Type2_Unequal1,25,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",1000000,969615,951296,6016,6033,0,6033,0,0.6016,0.6033,0.0,0.0
LHS_3954_CCD_Type2_Unequal2,26,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_CCD_Type2_Limit,27,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",1000000,969615,951296,6014,6030,0,6030,0,0.6014,0.603,0.0,0.0
LHS_3954_CCD_Type3_Equal,28,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,652,658,637,21,0,0.0652,0.0658,0.0637,0.0637
LHS_3954_CCD_Type3_Unequal1,29,"{'dU': 0.1, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,402,414,314,92,8,0.0402,0.0414,0.0314,0.0322
LHS_3954_CCD_Type3_Unequal2,30,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,2764,2835,2832,3,0,0.2764,0.2835,0.2832,0.2832
LHS_3954_CCD_Type3_Limit,31,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,656,657,562,95,0,0.0656,0.0657,0.0562,0.0562
LHS_3954_DCI_Type1,32,"{'dU': 1.0, 'dV': 10.0, 'dW': 0.0}",1000000,969615,951296,384,413,384,21,8,0.0384,0.0413,0.0384,0.0392
LHS_3954_DCI_Type1_Control,33,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,652,658,637,21,0,0.0652,0.0658,0.0637,0.0637
LHS_3954_DCI_Type2,34,"{'dU': 1.0, 'dV': 0.0, 'dW': 0.0}",1000000,969615,951296,11488,11490,0,11490,0,1.1488,1.149,0.0,0.0
LHS_3954_DCI_Type2_Limit,35,"{'dU': 0.1, 'dV': 0.0, 'dW': 0.0}",1000000,969615,951296,10673,10688,0,10688,0,1.0673,1.0688,0.0,0.0
LHS_3954_DCI_Type3,36,"{'dU': 0.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,6535,6949,0,6943,6,0.6535,0.6949,0.0,0.0006
LHS_3954_DCI_Type3_Limit,37,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,5661,6039,0,6014,25,0.5661,0.6039,0.0,0.0025
