config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
LHS_3954_DCC_Type1,0,"{'dU': 1.0, 'dV': 10.0, 'dW': 10.0}",1000000,969615,951296,94,94,94,0,0,0.0094,0.0094,0.0094,0.0094
LHS_3954_DCC_Type1_OneFast,1,"{'dU': 1.0, 'dV': 10.0, 'dW': 1.0}",1000000,969615,951296,82,82,81,0,1,0.0082,0.0082,0.0081,0.0082
LHS_3954_DCC_Type1_Control,2,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_3954_DCC_Type2_Equal,3,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,652,652,359,293,0,0.0652,0.0652,0.0359,0.0359
LHS_3954_DCC_Type2_Unequal1,4,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,2828,2828,2534,294,0,0.2828,0.2828,0.2534,0.2534
LHS_3954_DCC_Type2_Unequal2,5,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,2764,2764,2471,293,0,0.2764,0.2764,0.2471,0.2471
LHS_3954_DCC_Type2_Limit,6,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,656,656,363,293,0,0.0656,0.0656,0.0363,0.0363
LHS_3954_DCC_Type3_Equal,7,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_DCC_Type3_Unequal1,8,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",1000000,969615,951296,6016,6016,0,6016,0,0.6016,0.6016,0.0,0.0
LHS_3954_DCC_Type3_Unequal2,9,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_DCC_Type3_Limit,10,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",1000000,969615,951296,6014,6014,0,6014,0,0.6014,0.6014,0.0,0.0
LHS_3954_CDD_Type1,11,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,135,135,135,0,0,0.0135,0.0135,0.0135,0.0135
LHS_3954_CDD_Type1_Control,12,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_3954_CDD_Type2_Equal,13,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_CDD_Type2_Unequal1,14,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",1000000,969615,951296,6016,6016,0,6016,0,0.6016,0.6016,0.0,0.0
LHS_3954_CDD_Type2_Unequal2,15,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_CDD_Type2_Limit,16,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",1000000,969615,951296,6014,6014,0,6014,0,0.6014,0.6014,0.0,0.0
LHS_3954_CDD_Type3_Equal,17,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,652,652,359,293,0,0.0652,0.0652,0.0359,0.0359
LHS_3954_CDD_Type3_Unequal1,18,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,2828,2828,2534,294,0,0.2828,0.2828,0.2534,0.2534
LHS_3954_CDD_Type3_Unequal2,19,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,2764,2764,2471,293,0,0.2764,0.2764,0.2471,0.2471
LHS_3954_CDD_Type3_Limit,20,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,656,656,363,293,0,0.0656,0.0656,0.0363,0.0363
LHS_3954_CCD_Type1,21,"{'dU': 10.0, 'dV': 10.0, 'dW': 1.0}",1000000,969615,951296,31,31,31,0,0,0.0031,0.0031,0.0031,0.0031
LHS_3954_CCD_Type1_OneFast,22,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,135,135,135,0,0,0.0135,0.0135,0.0135,0.0135
LHS_3954_CCD_Type1_Control,23,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_3954_CCD_Type2_Equal,24,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_CCD_Type2_Unequal1,25,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",1000000,969615,951296,6016,6016,0,6016,0,0.6016,0.6016,0.0,0.0
LHS_3954_CCD_Type2_Unequal2,26,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",1000000,969615,951296,6700,6700,0,6700,0,0.67,0.67,0.0,0.0
LHS_3954_CCD_Type2_Limit,27,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",1000000,969615,951296,6014,6014,0,6014,0,0.6014,0.6014,0.0,0.0
LHS_3954_CCD_Type3_Equal,28,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,652,652,359,293,0,0.0652,0.0652,0.0359,0.0359
LHS_3954_CCD_Type3_Unequal1,29,"{'dU': 0.1, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,402,412,109,293,10,0.0402,0.0412,0.0109,0.0119
LHS_3954_CCD_Type3_Unequal2,30,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,2764,2764,2471,293,0,0.2764,0.2764,0.2471,0.2471
LHS_3954_CCD_Type3_Limit,31,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,656,656,363,293,0,0.0656,0.0656,0.0363,0.0363
