config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
3954_DCC_Type1,0,"{'dU': 1.0, 'dV': 10.0, 'dW': 10.0}",1000000,969615,951296,94,94,94,0,0,0.009881256727664154,0.009881256727664154,0.009881256727664154,0.009881256727664154
3954_DCC_Type1_OneFast,1,"{'dU': 1.0, 'dV': 10.0, 'dW': 1.0}",1000000,969615,951296,82,82,81,0,1,0.008619819698600645,0.008619819698600645,0.008514699946178686,0.008619819698600645
3954_DCC_Type1_Control,2,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,0,0,0,0,0,0.0,0.0,0.0,0.0
3954_DCC_Type2_Equal,3,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,652,652,359,293,0,0.06853807857911733,0.06853807857911733,0.03773799111948332,0.03773799111948332
3954_DCC_Type2_Unequal1,4,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,2828,2828,2534,294,0,0.2972786598493003,0.2972786598493003,0.2663734526372443,0.2663734526372443
3954_DCC_Type2_Unequal2,5,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,969615,951296,2764,2764,2471,293,0,0.29055099569429493,0.29055099569429493,0.2597509082346609,0.2597509082346609
3954_DCC_Type2_Limit,6,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,969615,951296,656,656,363,293,0,0.06895855758880516,0.06895855758880516,0.03815847012917115,0.03815847012917115
3954_DCC_Type3_Equal,7,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,969615,951296,6700,6700,0,6700,0,0.704302341227126,0.704302341227126,0.0,0.0
3954_DCC_Type3_Unequal1,8,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",1000000,969615,951296,6016,6016,0,6016,0,0.6324004305705059,0.6324004305705059,0.0,0.0
3954_DCC_Type3_Unequal2,9,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",1000000,969615,951296,6700,6700,0,6700,0,0.704302341227126,0.704302341227126,0.0,0.0
