config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
DCC_Type1,0,"{'dU': 1.0, 'dV': 10.0, 'dW': 10.0}",500000,484620,475425,40,40,40,0,0,0.008413524741021191,0.008413524741021191,0.008413524741021191,0.008413524741021191
DCC_Type1_OneFast,1,"{'dU': 1.0, 'dV': 10.0, 'dW': 1.0}",500000,484620,475425,34,34,33,0,1,0.007151496029868013,0.007151496029868013,0.006941157911342483,0.007151496029868013
DCC_Type1_Control,2,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,0,0,0,0,0,0.0,0.0,0.0,0.0
DCC_Type2_Equal,3,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,383,383,212,171,0,0.08055949939527791,0.08055949939527791,0.04459168112741232,0.04459168112741232
DCC_Type2_Unequal1,4,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",500000,484620,475425,1422,1422,1250,172,0,0.29910080454330334,0.29910080454330334,0.26292264815691224,0.26292264815691224
DCC_Type2_Unequal2,5,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,1386,1386,1215,171,0,0.2915286322763843,0.2915286322763843,0.2555608140085187,0.2555608140085187
DCC_Type2_Var,6,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",500000,484620,475425,5,5,5,0,0,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489
DCC_Type3_Equal,7,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
DCC_Type3_Unequal1,8,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",500000,484620,475425,2946,2946,0,2946,0,0.6196560971762107,0.6196560971762107,0.0,0.0
DCC_Type3_Unequal2,9,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
CDD_Type1,10,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,74,74,74,0,0,0.015565020770889204,0.015565020770889204,0.015565020770889204,0.015565020770889204
CDD_Type1_Control,11,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,0,0,0,0,0,0.0,0.0,0.0,0.0
CDD_Type2_Equal,12,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
CDD_Type2_Unequal1,13,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",500000,484620,475425,2946,2946,0,2946,0,0.6196560971762107,0.6196560971762107,0.0,0.0
CDD_Type2_Unequal2,14,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
CDD_Type3_Equal,15,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,383,383,212,171,0,0.08055949939527791,0.08055949939527791,0.04459168112741232,0.04459168112741232
CDD_Type3_Unequal1,16,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",500000,484620,475425,1422,1422,1250,172,0,0.29910080454330334,0.29910080454330334,0.26292264815691224,0.26292264815691224
CDD_Type3_Unequal2,17,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,1386,1386,1215,171,0,0.2915286322763843,0.2915286322763843,0.2555608140085187,0.2555608140085187
CDD_Type3_Var,18,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",500000,484620,475425,5,5,5,0,0,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489
CCD_Type1,19,"{'dU': 10.0, 'dV': 10.0, 'dW': 1.0}",500000,484620,475425,10,10,10,0,0,0.0021033811852552977,0.0021033811852552977,0.0021033811852552977,0.0021033811852552977
CCD_Type1_OneFast,20,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,74,74,74,0,0,0.015565020770889204,0.015565020770889204,0.015565020770889204,0.015565020770889204
CCD_Type1_Control,21,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,0,0,0,0,0,0.0,0.0,0.0,0.0
CCD_Type2_Equal,22,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
CCD_Type2_Unequal1,23,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",500000,484620,475425,2946,2946,0,2946,0,0.6196560971762107,0.6196560971762107,0.0,0.0
CCD_Type2_Unequal2,24,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
CCD_Type2_Var,25,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",500000,484620,475425,5,5,5,0,0,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489
CCD_Type3_Equal,26,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,383,383,212,171,0,0.08055949939527791,0.08055949939527791,0.04459168112741232,0.04459168112741232
CCD_Type3_Unequal1,27,"{'dU': 0.1, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,212,217,42,169,6,0.04459168112741232,0.04564337172003997,0.00883420097807225,0.01009622968922543
CCD_Type3_Unequal2,28,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,1386,1386,1215,171,0,0.2915286322763843,0.2915286322763843,0.2555608140085187,0.2555608140085187
DCD_Type1,29,"{'dU': 1.0, 'dV': 10.0, 'dW': 1.0}",500000,484620,475425,34,34,33,0,1,0.007151496029868013,0.007151496029868013,0.006941157911342483,0.007151496029868013
DCD_Type1_Control,30,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,0,0,0,0,0,0.0,0.0,0.0,0.0
DCD_Type2_Equal,31,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",500000,484620,475425,5,5,5,0,0,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489
DCD_Type2_Unequal1,32,"{'dU': 0.1, 'dV': 0.0, 'dW': 1.0}",500000,484620,475425,0,0,0,0,0,0.0,0.0,0.0,0.0
DCD_Type2_Unequal2,33,"{'dU': 1.0, 'dV': 0.0, 'dW': 10.0}",500000,484620,475425,0,0,0,0,0,0.0,0.0,0.0,0.0
DCD_Type3_Equal,34,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
DCD_Type3_Unequal1,35,"{'dU': 0.0, 'dV': 0.1, 'dW': 1.0}",500000,484620,475425,2946,2946,0,2946,0,0.6196560971762107,0.6196560971762107,0.0,0.0
DCD_Type3_Unequal2,36,"{'dU': 0.0, 'dV': 1.0, 'dW': 10.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
DCD_Type3_Var,37,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,383,383,212,171,0,0.08055949939527791,0.08055949939527791,0.04459168112741232,0.04459168112741232
DCI_Type1,38,"{'dU': 1.0, 'dV': 10.0, 'dW': 0.0}",500000,484620,475425,207,212,36,170,6,0.04353999053478467,0.04459168112741232,0.007572172266919072,0.00883420097807225
DCI_Type1_Control,39,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,383,383,212,171,0,0.08055949939527791,0.08055949939527791,0.04459168112741232,0.04459168112741232
DCI_Type2,40,"{'dU': 1.0, 'dV': 0.0, 'dW': 0.0}",500000,484620,475425,5803,5803,0,5803,0,1.2205921018036494,1.2205921018036494,0.0,0.0
DCI_Type3,41,"{'dU': 0.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,3217,3435,0,3254,181,0.6766577272966293,0.7225114371351948,0.0,0.038071199453120895
