config_name,config_id,dU,dV,dW,sigma,n_samples,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,1.8,100000,72870,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,2.0,100000,67959,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,2.4,100000,59093,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,2.8,100000,51853,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,3.2,100000,46233,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,3.6,100000,41674,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,3.8,100000,39752,0,3,0,0,3,0.0,0.007546790098611391,0.0,0.007546790098611391
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,4.0,100000,38013,0,2,0,0,2,0.0,0.00526135795648857,0.0,0.00526135795648857
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,6.0,100000,26971,0,32,0,0,32,0.0,0.11864595306069482,0.0,0.11864595306069482
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,8.0,100000,21713,0,64,0,0,64,0.0,0.29475429466218395,0.0,0.29475429466218395
RMT_3954_DCC_Type1,0,1.0,10.0,10.0,10.0,100000,18489,0,102,0,0,102,0.0,0.5516793769268213,0.0,0.5516793769268213
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,1.8,100000,72870,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,2.0,100000,67959,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,2.4,100000,59093,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,2.8,100000,51853,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,3.2,100000,46233,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,3.6,100000,41674,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,3.8,100000,39752,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,4.0,100000,38013,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,6.0,100000,26971,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,8.0,100000,21713,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_OneFast,1,1.0,10.0,1.0,10.0,100000,18489,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,1.8,100000,72870,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,2.0,100000,67959,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,2.4,100000,59093,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,2.8,100000,51853,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,3.2,100000,46233,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,3.6,100000,41674,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,3.8,100000,39752,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,4.0,100000,38013,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,6.0,100000,26971,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,8.0,100000,21713,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,10.0,100000,18489,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,0.6,100000,98966,2,2,2,0,0,0.0020208960653153606,0.0020208960653153606,0.0020208960653153606,0.0020208960653153606
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,1.0,100000,92345,123,123,123,0,0,0.13319616654935296,0.13319616654935296,0.13319616654935296,0.13319616654935296
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,1.4,100000,83226,534,534,534,0,0,0.6416264148222911,0.6416264148222911,0.6416264148222911,0.6416264148222911
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,1.8,100000,72870,966,966,966,0,0,1.3256484149855907,1.3256484149855907,1.3256484149855907,1.3256484149855907
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,2.0,100000,67959,1129,1129,1129,0,0,1.6612957812798894,1.6612957812798894,1.6612957812798894,1.6612957812798894
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,2.4,100000,59093,1501,1501,1501,0,0,2.5400639669673226,2.5400639669673226,2.5400639669673226,2.5400639669673226
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,2.8,100000,51853,1728,1728,1728,0,0,3.3324976375523114,3.3324976375523114,3.3324976375523114,3.3324976375523114
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,3.2,100000,46233,1999,1999,1999,0,0,4.323751432959142,4.323751432959142,4.323751432959142,4.323751432959142
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,3.6,100000,41674,2160,2160,2160,0,0,5.183087776551327,5.183087776551327,5.183087776551327,5.183087776551327
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,3.8,100000,39752,2225,2225,2225,0,0,5.597202656470115,5.597202656470115,5.597202656470115,5.597202656470115
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,4.0,100000,38013,2293,2293,2293,0,0,6.032146897114145,6.032146897114145,6.032146897114145,6.032146897114145
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,6.0,100000,26971,2837,2837,2837,0,0,10.518705276037226,10.518705276037226,10.518705276037226,10.518705276037226
