config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,0.1,100000,100000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,0.2,100000,100000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,0.3,100000,100000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,0.4,100000,99981,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,0.5,100000,99732,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,0.6,100000,98966,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,0.7,100000,97782,2,2,2,0,0,0,0.002,0.002,0.002
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,0.8,100000,96149,3,3,3,0,0,0,0.003,0.003,0.003
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,0.9,100000,94311,12,12,12,0,0,0,0.012,0.012,0.012
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,1.0,100000,92345,23,23,23,0,0,0,0.023,0.023,0.023
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,1.1,100000,90198,39,39,39,0,0,0,0.039,0.039,0.039
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,1.2,100000,88080,46,46,46,0,0,0,0.046,0.046,0.046
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,1.3,100000,85689,32,32,32,0,0,0,0.032,0.032,0.032
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,1.4,100000,83226,52,52,52,0,0,0,0.052,0.052,0.052
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,1.5,100000,80727,48,48,48,0,0,0,0.048,0.048,0.048
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,1.6,100000,78077,63,63,63,0,0,0,0.063,0.063,0.063
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,1.8,100000,72870,62,62,62,0,0,0,0.062,0.062,0.062
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,2.0,100000,67959,61,61,61,0,0,0,0.061,0.061,0.061
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,2.2,100000,63389,60,60,60,0,0,0,0.06,0.06,0.06
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,2.4,100000,59093,50,50,50,0,0,0,0.05,0.05,0.05
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,2.6,100000,55261,44,44,44,0,0,0,0.044,0.044,0.044
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,2.8,100000,51853,38,38,38,0,0,0,0.038,0.038,0.038
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,3.0,100000,48898,39,39,39,0,0,0,0.039,0.039,0.039
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,3.2,100000,46233,40,40,40,0,0,0,0.04,0.04,0.04
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,3.4,100000,43879,25,25,25,0,0,0,0.025,0.025,0.025
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,3.6,100000,41674,27,27,27,0,0,0,0.027,0.027,0.027
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,3.8,100000,39752,22,22,22,0,0,0,0.022,0.022,0.022
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,4.0,100000,38013,17,17,17,0,0,0,0.017,0.017,0.017
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,5.0,100000,31319,11,11,11,0,0,0,0.011,0.011,0.011
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,6.0,100000,26971,7,7,7,0,0,0,0.007,0.007,0.007
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,7.0,100000,23995,5,5,5,0,0,0,0.005,0.005,0.005
FINAL_RMT_3954_Type2_VFreeze_Equal1,17,1.0,0.0,1.0,8.0,100000,21713,1,1,1,0,0,0,0.001,0.001,0.001
