config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.3,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.4,500000,499876,164,164,0,0,0,164,0.0328,0.0328,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.5,500000,498732,1854,1854,0,0,0,1854,0.3708,0.3708,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.58,500000,496006,5868,5868,0,0,0,5868,1.1736,1.1736,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.6,500000,495049,7335,7335,0,0,0,7335,1.467,1.467,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.7,500000,488877,18053,18053,0,0,0,18053,3.6106,3.6106,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.8,500000,480598,32051,32051,0,0,0,32051,6.4102,6.4102,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,0.9,500000,471253,47931,47931,0,0,0,47931,9.5862,9.5862,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,1.0,500000,461448,64458,64458,0,0,0,64458,12.8916,12.8916,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,1.1,500000,450966,80241,80241,0,0,0,80241,16.0482,16.0482,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,1.2,500000,439833,94063,94063,0,0,0,94063,18.8126,18.8126,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,1.3,500000,428013,106043,106043,0,0,0,106043,21.2086,21.2086,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,1.4,500000,415585,115647,115647,0,0,0,115647,23.1294,23.1294,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,1.5,500000,402914,123530,123530,0,0,0,123530,24.706,24.706,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,1.6,500000,389868,129126,129126,0,0,0,129126,25.8252,25.8252,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,1.8,500000,364012,136812,136812,0,0,0,136812,27.3624,27.3624,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,2.0,500000,339351,140184,140184,0,0,0,140184,28.0368,28.0368,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,2.2,500000,316290,140445,140445,0,0,0,140445,28.089,28.089,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,2.4,500000,295017,138815,138815,0,0,0,138815,27.763,27.763,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,2.6,500000,276069,136578,136578,0,0,0,136578,27.3156,27.3156,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,2.8,500000,259145,133638,133638,0,0,0,133638,26.7276,26.7276,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,3.0,500000,244038,130571,130571,0,0,0,130571,26.1142,26.1142,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,3.2,500000,230592,127456,127456,0,0,0,127456,25.4912,25.4912,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,3.4,500000,218627,124379,124379,0,0,0,124379,24.8758,24.8758,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,3.6,500000,207970,121333,121333,0,0,0,121333,24.2666,24.2666,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,3.8,500000,198315,118358,118358,0,0,0,118358,23.6716,23.6716,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,4.0,500000,189657,115462,115462,0,0,0,115462,23.0924,23.0924,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,4.5,500000,171077,108610,108610,0,0,0,108610,21.722,21.722,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,5.0,500000,156303,102721,102721,0,0,0,102721,20.5442,20.5442,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,5.5,500000,144217,97503,97503,0,0,0,97503,19.5006,19.5006,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,6.0,500000,134388,92977,92977,0,0,0,92977,18.5954,18.5954,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,7.0,500000,119170,85316,85316,0,0,0,85316,17.0632,17.0632,0.0
FINAL_RMT_3954_Type3_VWFreeze_Equal1,53,1.0,0.0,0.0,8.0,500000,107926,79177,79177,0,0,0,79177,15.8354,15.8354,0.0
