config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.3,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.4,500000,499876,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.5,500000,498732,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.58,500000,496006,1,1,1,0,0,0,0.0002,0.0002,0.0002
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.6,500000,495049,2,2,2,0,0,0,0.0004,0.0004,0.0004
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.7,500000,488877,21,21,21,0,0,0,0.0042,0.0042,0.0042
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.8,500000,480598,95,95,95,0,0,0,0.019,0.019,0.019
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,0.9,500000,471253,290,290,290,0,0,0,0.058,0.058,0.058
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,1.0,500000,461448,585,585,585,0,0,0,0.117,0.117,0.117
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,1.1,500000,450966,1021,1021,1021,0,0,0,0.2042,0.2042,0.2042
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,1.2,500000,439833,1520,1520,1520,0,0,0,0.304,0.304,0.304
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,1.3,500000,428013,2023,2023,2023,0,0,0,0.4046,0.4046,0.4046
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,1.4,500000,415585,2576,2576,2576,0,0,0,0.5152,0.5152,0.5152
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,1.5,500000,402914,3162,3162,3162,0,0,0,0.6324,0.6324,0.6324
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,1.6,500000,389868,3711,3711,3711,0,0,0,0.7422,0.7422,0.7422
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,1.8,500000,364012,4772,4772,4772,0,0,0,0.9544,0.9544,0.9544
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,2.0,500000,339351,5678,5678,5678,0,0,0,1.1356,1.1356,1.1356
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,2.2,500000,316290,6667,6667,6667,0,0,0,1.3334,1.3334,1.3334
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,2.4,500000,295017,7334,7334,7334,0,0,0,1.4668,1.4668,1.4668
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,2.6,500000,276069,8040,8040,8040,0,0,0,1.608,1.608,1.608
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,2.8,500000,259145,8629,8629,8629,0,0,0,1.7258,1.7258,1.7258
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,3.0,500000,244038,9178,9178,9178,0,0,0,1.8356,1.8356,1.8356
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,3.2,500000,230592,9753,9753,9753,0,0,0,1.9506,1.9506,1.9506
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,3.4,500000,218627,10168,10168,10168,0,0,0,2.0336,2.0336,2.0336
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,3.6,500000,207970,10571,10571,10571,0,0,0,2.1142,2.1142,2.1142
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,3.8,500000,198315,10859,10859,10859,0,0,0,2.1718,2.1718,2.1718
FINAL_RMT_3954_Type3_WFreeze_Equal3,37,10.0,10.0,0.0,4.0,500000,189657,11284,11284,11284,0,0,0,2.2568,2.2568,2.2568
