config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,0.1,100000,100000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,0.2,100000,100000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,0.3,100000,100000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,0.4,100000,99981,2,2,2,0,0,0,0.002,0.002,0.002
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,0.5,100000,99732,38,38,38,0,0,0,0.038,0.038,0.038
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,0.6,100000,98966,198,198,198,0,0,0,0.198,0.198,0.198
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,0.7,100000,97782,590,590,590,0,0,0,0.59,0.59,0.59
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,0.8,100000,96149,1347,1347,1347,0,0,0,1.347,1.347,1.347
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,0.9,100000,94311,2420,2420,2420,0,0,0,2.42,2.42,2.42
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,1.0,100000,92345,3616,3616,3616,0,0,0,3.616,3.616,3.616
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,1.1,100000,90198,4830,4830,4830,0,0,0,4.83,4.83,4.83
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,1.2,100000,88080,6101,6101,6101,0,0,0,6.101,6.101,6.101
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,1.3,100000,85689,7125,7125,7125,0,0,0,7.125,7.125,7.125
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,1.4,100000,83226,8061,8061,8061,0,0,0,8.061,8.061,8.061
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,1.5,100000,80727,8875,8875,8875,0,0,0,8.875,8.875,8.875
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,1.6,100000,78077,9441,9441,9441,0,0,0,9.441,9.441,9.441
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,1.8,100000,72870,10401,10401,10401,0,0,0,10.401,10.401,10.401
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,2.0,100000,67959,10955,10955,10955,0,0,0,10.955,10.955,10.955
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,2.2,100000,63389,11291,11291,11291,0,0,0,11.291,11.291,11.291
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,2.4,100000,59093,11462,11462,11462,0,0,0,11.462,11.462,11.462
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,2.6,100000,55261,11542,11542,11542,0,0,0,11.542,11.542,11.542
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,2.8,100000,51853,11583,11583,11583,0,0,0,11.583,11.583,11.583
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,3.0,100000,48898,11572,11572,11572,0,0,0,11.572,11.572,11.572
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,3.2,100000,46233,11536,11536,11536,0,0,0,11.536,11.536,11.536
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,3.4,100000,43879,11399,11399,11399,0,0,0,11.399,11.399,11.399
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,3.6,100000,41674,11336,11336,11336,0,0,0,11.336,11.336,11.336
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,3.8,100000,39752,11276,11276,11276,0,0,0,11.276,11.276,11.276
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,4.0,100000,38013,11150,11150,11150,0,0,0,11.15,11.15,11.15
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,5.0,100000,31319,10595,10595,10595,0,0,0,10.595,10.595,10.595
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,6.0,100000,26971,10125,10125,10118,7,0,0,10.125,10.125,10.118
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,7.0,100000,23995,9789,9789,9766,23,0,0,9.789,9.789,9.766
FINAL_RMT_3954_Type3_WFreeze_Unequal3,40,10.0,1.0,0.0,8.0,100000,21713,9451,9451,9399,52,0,0,9.451,9.451,9.399
