config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,0.4,100000,99981,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,0.5,100000,99732,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,0.6,100000,98966,1,1,1,0,0,0.001,0.001,0.001
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,0.7,100000,97782,4,4,4,0,0,0.004,0.004,0.004
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,0.8,100000,96149,11,11,11,0,0,0.011,0.011,0.011
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,0.9,100000,94311,32,32,32,0,0,0.032,0.032,0.032
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,1.0,100000,92345,59,59,59,0,0,0.059,0.059,0.059
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,1.1,100000,90198,117,117,117,0,0,0.117,0.117,0.117
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,1.2,100000,88080,166,166,166,0,0,0.166,0.166,0.166
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,1.3,100000,85689,209,209,209,0,0,0.209,0.209,0.209
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,1.4,100000,83226,310,310,310,0,0,0.31,0.31,0.31
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,1.5,100000,80727,358,358,358,0,0,0.358,0.358,0.358
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,1.6,100000,78077,430,430,430,0,0,0.43,0.43,0.43
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,1.8,100000,72870,541,541,541,0,0,0.541,0.541,0.541
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,2.0,100000,67959,628,628,628,0,0,0.628,0.628,0.628
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,2.2,100000,63389,736,736,736,0,0,0.736,0.736,0.736
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,2.4,100000,59093,810,810,810,0,0,0.81,0.81,0.81
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,2.6,100000,55261,846,846,846,0,0,0.846,0.846,0.846
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,2.8,100000,51853,920,920,920,0,0,0.92,0.92,0.92
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,3.0,100000,48898,987,987,987,0,0,0.987,0.987,0.987
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,3.2,100000,46233,1059,1059,1059,0,0,1.059,1.059,1.059
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,3.4,100000,43879,1098,1098,1098,0,0,1.098,1.098,1.098
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,3.6,100000,41674,1156,1156,1156,0,0,1.156,1.156,1.156
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,3.8,100000,39752,1166,1166,1166,0,0,1.166,1.166,1.166
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,4.0,100000,38013,1185,1185,1185,0,0,1.185,1.185,1.185
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,5.0,100000,31319,1298,1298,1298,0,0,1.298,1.298,1.298
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,6.0,100000,26971,1425,1425,1425,0,0,1.425,1.425,1.425
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,7.0,100000,23995,1470,1470,1470,0,0,1.47,1.47,1.47
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,8.0,100000,21713,1461,1461,1461,0,0,1.461,1.461,1.461
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,9.0,100000,19905,1475,1475,1475,0,0,1.475,1.475,1.475
NEW_RMT_3954_Type1_UVFast_Unequal1,21,10.0,10.0,1.0,10.0,100000,18489,1468,1468,1468,0,0,1.468,1.468,1.468
