config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,0.4,100000,99981,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,0.5,100000,99732,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,0.7,100000,97782,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,0.8,100000,96149,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,0.9,100000,94311,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,1.1,100000,90198,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,1.2,100000,88080,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,1.3,100000,85689,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,1.5,100000,80727,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,1.6,100000,78077,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,1.8,100000,72870,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,2.0,100000,67959,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,2.2,100000,63389,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,2.4,100000,59093,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,2.6,100000,55261,1,1,1,0,0,0.001,0.001,0.001
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,2.8,100000,51853,1,1,1,0,0,0.001,0.001,0.001
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,3.0,100000,48898,2,2,2,0,0,0.002,0.002,0.002
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,3.2,100000,46233,3,3,3,0,0,0.003,0.003,0.003
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,3.4,100000,43879,5,5,5,0,0,0.005,0.005,0.005
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,3.6,100000,41674,7,7,7,0,0,0.007,0.007,0.007
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,3.8,100000,39752,8,8,8,0,0,0.008,0.008,0.008
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,4.0,100000,38013,11,11,11,0,0,0.011,0.011,0.011
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,5.0,100000,31319,26,26,26,0,0,0.026,0.026,0.026
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,6.0,100000,26971,50,50,50,0,0,0.05,0.05,0.05
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,7.0,100000,23995,83,83,83,0,0,0.083,0.083,0.083
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,8.0,100000,21713,109,109,109,0,0,0.109,0.109,0.109
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,9.0,100000,19905,157,157,157,0,0,0.157,0.157,0.157
NEW_RMT_3954_Type1_VFast_Unequal4,11,1.0,10.0,0.1,10.0,100000,18489,182,182,182,0,0,0.182,0.182,0.182
