config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,0.4,100000,99981,39,39,0,39,0,0.039,0.039,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,0.5,100000,99732,321,321,0,321,0,0.321,0.321,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,0.6,100000,98966,1166,1166,0,1166,0,1.166,1.166,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,0.7,100000,97782,2912,2912,0,2912,0,2.912,2.912,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,0.8,100000,96149,5213,5213,0,5213,0,5.213,5.213,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,0.9,100000,94311,7877,7877,0,7877,0,7.877,7.877,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,1.0,100000,92345,10476,10476,0,10476,0,10.476,10.476,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,1.1,100000,90198,12793,12793,0,12793,0,12.793,12.793,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,1.2,100000,88080,15009,15009,0,15009,0,15.009,15.009,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,1.3,100000,85689,16652,16652,0,16652,0,16.652,16.652,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,1.4,100000,83226,18060,18060,0,18060,0,18.06,18.06,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,1.5,100000,80727,19148,19148,0,19148,0,19.148,19.148,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,1.6,100000,78077,19728,19728,0,19728,0,19.728,19.728,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,1.8,100000,72870,20550,20550,0,20550,0,20.55,20.55,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,2.0,100000,67959,20676,20676,0,20676,0,20.676,20.676,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,2.2,100000,63389,20392,20392,0,20392,0,20.392,20.392,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,2.4,100000,59093,19768,19768,0,19768,0,19.768,19.768,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,2.6,100000,55261,19049,19049,0,19049,0,19.049,19.049,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,2.8,100000,51853,18373,18373,0,18373,0,18.373,18.373,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,3.0,100000,48898,17677,17677,0,17677,0,17.677,17.677,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,3.2,100000,46233,16996,16996,0,16996,0,16.996,16.996,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,3.4,100000,43879,16326,16326,0,16326,0,16.326,16.326,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,3.6,100000,41674,15664,15664,0,15664,0,15.664,15.664,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,3.8,100000,39752,15046,15046,0,15046,0,15.046,15.046,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,4.0,100000,38013,14461,14461,0,14461,0,14.461,14.461,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,5.0,100000,31319,12015,12015,0,12015,0,12.015,12.015,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,6.0,100000,26971,10284,10284,0,10284,0,10.284,10.284,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,7.0,100000,23995,8983,8983,0,8983,0,8.983,8.983,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,8.0,100000,21713,7955,7955,0,7955,0,7.955,7.955,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,9.0,100000,19905,7193,7193,0,7193,0,7.193,7.193,0.0
NEW_RMT_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,10.0,100000,18489,6550,6550,0,6550,0,6.55,6.55,0.0
