config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,0.6,100000,98966,1,1,1,0,0,0.0010104480326576803,0.0010104480326576803,0.0010104480326576803,0.0010104480326576803
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,1.0,100000,92345,59,59,59,0,0,0.0638908441171693,0.0638908441171693,0.0638908441171693,0.0638908441171693
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,1.4,100000,83226,310,310,310,0,0,0.3724797539230529,0.3724797539230529,0.3724797539230529,0.3724797539230529
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,1.8,100000,72870,541,541,541,0,0,0.7424180046658433,0.7424180046658433,0.7424180046658433,0.7424180046658433
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,2.0,100000,67959,628,628,628,0,0,0.9240865816153857,0.9240865816153857,0.9240865816153857,0.9240865816153857
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,2.4,100000,59093,810,810,810,0,0,1.3707207283434586,1.3707207283434586,1.3707207283434586,1.3707207283434586
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,2.8,100000,51853,920,920,920,0,0,1.774246427400536,1.774246427400536,1.774246427400536,1.774246427400536
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,3.2,100000,46233,1059,1059,1059,0,0,2.290571669586659,2.290571669586659,2.290571669586659,2.290571669586659
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,3.6,100000,41674,1156,1156,1156,0,0,2.7739117915246916,2.7739117915246916,2.7739117915246916,2.7739117915246916
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,3.8,100000,39752,1166,1166,1166,0,0,2.933185751660294,2.933185751660294,2.933185751660294,2.933185751660294
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,4.0,100000,38013,1185,1185,1185,0,0,3.1173545892194774,3.1173545892194774,3.1173545892194774,3.1173545892194774
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,6.0,100000,26971,1425,1425,1425,0,0,5.283452597234066,5.283452597234066,5.283452597234066,5.283452597234066
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,8.0,100000,21713,1461,1461,1461,0,0,6.7286878828351675,6.7286878828351675,6.7286878828351675,6.7286878828351675
RMT_3954_CCD_Type1,21,10.0,10.0,1.0,10.0,100000,18489,1468,1468,1468,0,0,7.9398561306722915,7.9398561306722915,7.9398561306722915,7.9398561306722915
