config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,0.3,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,0.4,1000000,999761,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,0.5,1000000,997410,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,0.6,1000000,990092,1,1,1,0,0,0.0001,0.0001,0.0001
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,0.7,1000000,977522,25,25,25,0,0,0.0025,0.0025,0.0025
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,0.8,1000000,961006,96,96,96,0,0,0.0096,0.0096,0.0096
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,0.9,1000000,942442,274,274,274,0,0,0.0274,0.0274,0.0274
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,1.0,1000000,922580,608,608,608,0,0,0.0608,0.0608,0.0608
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,1.1,1000000,901705,1070,1070,1070,0,0,0.107,0.107,0.107
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,1.2,1000000,879455,1628,1628,1628,0,0,0.1628,0.1628,0.1628
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,1.3,1000000,855937,2248,2248,2248,0,0,0.2248,0.2248,0.2248
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,1.4,1000000,831230,2980,2980,2980,0,0,0.298,0.298,0.298
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,1.5,1000000,805932,3597,3597,3597,0,0,0.3597,0.3597,0.3597
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,1.6,1000000,779894,4189,4189,4189,0,0,0.4189,0.4189,0.4189
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,1.8,1000000,728302,5422,5422,5422,0,0,0.5422,0.5422,0.5422
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,2.0,1000000,679144,6469,6469,6469,0,0,0.6469,0.6469,0.6469
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,2.2,1000000,632850,7442,7442,7442,0,0,0.7442,0.7442,0.7442
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,2.4,1000000,590531,8225,8225,8225,0,0,0.8225,0.8225,0.8225
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,2.6,1000000,552782,8835,8835,8835,0,0,0.8835,0.8835,0.8835
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,2.8,1000000,519067,9346,9346,9346,0,0,0.9346,0.9346,0.9346
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,3.0,1000000,488766,9804,9804,9804,0,0,0.9804,0.9804,0.9804
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,3.2,1000000,461866,10235,10235,10235,0,0,1.0235,1.0235,1.0235
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,3.4,1000000,437771,10618,10618,10618,0,0,1.0618,1.0618,1.0618
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,3.6,1000000,416254,11043,11043,11043,0,0,1.1043,1.1043,1.1043
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,3.8,1000000,396959,11255,11255,11255,0,0,1.1255,1.1255,1.1255
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,4.0,1000000,379473,11563,11563,11563,0,0,1.1563,1.1563,1.1563
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,5.0,1000000,313375,12835,12835,12835,0,0,1.2835,1.2835,1.2835
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,6.0,1000000,269672,13391,13391,13391,0,0,1.3391,1.3391,1.3391
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,7.0,1000000,238911,13753,13753,13753,0,0,1.3753,1.3753,1.3753
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,8.0,1000000,216103,14155,14155,14155,0,0,1.4155,1.4155,1.4155
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,9.0,1000000,198593,14359,14359,14359,0,0,1.4359,1.4359,1.4359
RMT_3954_CCD_Type1,27,10.0,10.0,1.0,10.0,1000000,184231,14470,14470,14470,0,0,1.447,1.447,1.447
