config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,0.6,100000,98966,66,66,66,0,0,0.06668957015540691,0.06668957015540691,0.06668957015540691,0.06668957015540691
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,1.0,100000,92345,1719,1719,1719,0,0,1.861497644701933,1.861497644701933,1.861497644701933,1.861497644701933
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,1.4,100000,83226,3977,3977,3977,0,0,4.778554778554779,4.778554778554779,4.778554778554779,4.778554778554779
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,1.8,100000,72870,5242,5242,5242,0,0,7.193632496226156,7.193632496226156,7.193632496226156,7.193632496226156
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,2.0,100000,67959,5488,5488,5488,0,0,8.0754572609956,8.0754572609956,8.0754572609956,8.0754572609956
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,2.4,100000,59093,5701,5701,5701,0,0,9.647504780600071,9.647504780600071,9.647504780600071,9.647504780600071
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,2.8,100000,51853,5562,5562,5562,0,0,10.726476770871502,10.726476770871502,10.726476770871502,10.726476770871502
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,3.2,100000,46233,5487,5487,5487,0,0,11.8681461293881,11.8681461293881,11.8681461293881,11.8681461293881
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,3.6,100000,41674,5279,5279,5279,0,0,12.66737054278447,12.66737054278447,12.66737054278447,12.66737054278447
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,3.8,100000,39752,5171,5171,5171,0,0,13.0081505333065,13.0081505333065,13.0081505333065,13.0081505333065
RMT_3954_CCD_Type1_OneFast,22,10.0,1.0,1.0,4.0,100000,38013,5123,5123,5123,0,0,13.476968405545472,13.476968405545472,13.476968405545472,13.476968405545472
