config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,0.3,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,0.4,1000000,999761,11,11,11,0,0,0.0011,0.0011,0.0011
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,0.5,1000000,997410,263,263,263,0,0,0.0263,0.0263,0.0263
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,0.6,1000000,990092,1762,1762,1762,0,0,0.1762,0.1762,0.1762
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,0.7,1000000,977522,5377,5377,5377,0,0,0.5377,0.5377,0.5377
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,0.8,1000000,961006,11957,11957,11957,0,0,1.1957,1.1957,1.1957
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,0.9,1000000,942442,21247,21247,21247,0,0,2.1247,2.1247,2.1247
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,1.0,1000000,922580,31712,31712,31712,0,0,3.1712,3.1712,3.1712
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,1.1,1000000,901705,42434,42434,42434,0,0,4.2434,4.2434,4.2434
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,1.2,1000000,879455,52466,52466,52466,0,0,5.2466,5.2466,5.2466
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,1.3,1000000,855937,61664,61664,61664,0,0,6.1664,6.1664,6.1664
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,1.4,1000000,831230,69532,69532,69532,0,0,6.9532,6.9532,6.9532
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,1.5,1000000,805932,76188,76188,76188,0,0,7.6188,7.6188,7.6188
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,1.6,1000000,779894,81201,81201,81201,0,0,8.1201,8.1201,8.1201
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,1.8,1000000,728302,88046,88046,88046,0,0,8.8046,8.8046,8.8046
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,2.0,1000000,679144,92038,92038,92038,0,0,9.2038,9.2038,9.2038
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,2.2,1000000,632850,93500,93500,93500,0,0,9.35,9.35,9.35
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,2.4,1000000,590531,93062,93062,93062,0,0,9.3062,9.3062,9.3062
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,2.6,1000000,552782,92106,92106,92106,0,0,9.2106,9.2106,9.2106
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,2.8,1000000,519067,90742,90742,90742,0,0,9.0742,9.0742,9.0742
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,3.0,1000000,488766,88984,88984,88984,0,0,8.8984,8.8984,8.8984
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,3.2,1000000,461866,87463,87463,87463,0,0,8.7463,8.7463,8.7463
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,3.4,1000000,437771,85574,85574,85574,0,0,8.5574,8.5574,8.5574
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,3.6,1000000,416254,83812,83812,83812,0,0,8.3812,8.3812,8.3812
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,3.8,1000000,396959,82170,82170,82170,0,0,8.217,8.217,8.217
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,4.0,1000000,379473,80629,80629,80629,0,0,8.0629,8.0629,8.0629
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,5.0,1000000,313375,73133,73133,73133,0,0,7.3133,7.3133,7.3133
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,6.0,1000000,269672,67266,67266,67266,0,0,6.7266,6.7266,6.7266
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,7.0,1000000,238911,62432,62432,62432,0,0,6.2432,6.2432,6.2432
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,8.0,1000000,216103,58431,58431,58431,0,0,5.8431,5.8431,5.8431
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,9.0,1000000,198593,55229,55229,55229,0,0,5.5229,5.5229,5.5229
RMT_3954_CCD_Type1_Var1,28,10.0,0.0,1.0,10.0,1000000,184231,52414,52414,52414,0,0,5.2414,5.2414,5.2414
