config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.4,100000,99981,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.5,100000,99732,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.6,100000,98966,2,2,2,0,0,0.002,0.002,0.002
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.7,100000,97782,8,8,8,0,0,0.008,0.008,0.008
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.8,100000,96149,24,24,24,0,0,0.024,0.024,0.024
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.9,100000,94311,65,65,65,0,0,0.065,0.065,0.065
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.0,100000,92345,124,124,124,0,0,0.124,0.124,0.124
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.1,100000,90198,226,226,226,0,0,0.226,0.226,0.226
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.2,100000,88080,324,324,324,0,0,0.324,0.324,0.324
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.3,100000,85689,436,436,436,0,0,0.436,0.436,0.436
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.4,100000,83226,536,536,536,0,0,0.536,0.536,0.536
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.5,100000,80727,681,681,681,0,0,0.681,0.681,0.681
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.6,100000,78077,787,787,787,0,0,0.787,0.787,0.787
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.8,100000,72870,972,972,972,0,0,0.972,0.972,0.972
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,2.0,100000,67959,1129,1129,1129,0,0,1.129,1.129,1.129
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,2.2,100000,63389,1355,1355,1355,0,0,1.355,1.355,1.355
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,2.4,100000,59093,1503,1503,1503,0,0,1.503,1.503,1.503
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,2.6,100000,55261,1618,1618,1618,0,0,1.618,1.618,1.618
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,2.8,100000,51853,1729,1729,1729,0,0,1.729,1.729,1.729
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,3.0,100000,48898,1884,1884,1883,1,0,1.884,1.884,1.883
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,3.2,100000,46233,2000,2000,1999,1,0,2.0,2.0,1.999
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,3.4,100000,43879,2068,2068,2065,3,0,2.068,2.068,2.065
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,3.6,100000,41674,2164,2164,2160,4,0,2.164,2.164,2.16
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,3.8,100000,39752,2226,2226,2219,7,0,2.226,2.226,2.219
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,4.0,100000,38013,2295,2295,2283,12,0,2.295,2.295,2.283
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,5.0,100000,31319,2555,2555,2488,67,0,2.555,2.555,2.488
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,6.0,100000,26971,2816,2816,2602,214,0,2.816,2.816,2.602
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,7.0,100000,23995,2969,2969,2493,476,0,2.969,2.969,2.493
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,8.0,100000,21713,3010,3010,2251,759,0,3.01,3.01,2.251
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,9.0,100000,19905,3065,3065,2025,1040,0,3.065,3.065,2.025
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,10.0,100000,18489,3076,3076,1815,1261,0,3.076,3.076,1.815
