config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,0.6,100000,98966,198,198,198,0,0,0.2000687104662207,0.2000687104662207,0.2000687104662207,0.2000687104662207
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,1.0,100000,92345,3616,3616,3616,0,0,3.9157507174183768,3.9157507174183768,3.9157507174183768,3.9157507174183768
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,1.4,100000,83226,8061,8061,8061,0,0,9.685675149592676,9.685675149592676,9.685675149592676,9.685675149592676
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,1.8,100000,72870,10401,10401,10401,0,0,14.273363524083985,14.273363524083985,14.273363524083985,14.273363524083985
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,2.0,100000,67959,10955,10955,10955,0,0,16.120013537574124,16.120013537574124,16.120013537574124,16.120013537574124
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,2.4,100000,59093,11462,11462,11462,0,0,19.396544429966323,19.396544429966323,19.396544429966323,19.396544429966323
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,2.8,100000,51853,11583,11583,11583,0,0,22.338148226717838,22.338148226717838,22.338148226717838,22.338148226717838
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,3.2,100000,46233,11536,11536,11536,0,0,24.951874202409535,24.951874202409535,24.951874202409535,24.951874202409535
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,3.6,100000,41674,11336,11336,11336,0,0,27.201612516197148,27.201612516197148,27.201612516197148,27.201612516197148
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,3.8,100000,39752,11276,11276,11276,0,0,28.36586838398068,28.36586838398068,28.36586838398068,28.36586838398068
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,4.0,100000,38013,11150,11150,11150,0,0,29.332070607423777,29.332070607423777,29.332070607423777,29.332070607423777
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,6.0,100000,26971,10125,10125,10125,0,0,37.54032108561047,37.54032108561047,37.54032108561047,37.54032108561047
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,8.0,100000,21713,9451,9451,9451,0,0,43.52691935706719,43.52691935706719,43.52691935706719,43.52691935706719
RMT_3954_CCD_Type3_Unequal2,30,10.0,1.0,0.0,10.0,100000,18489,8872,8872,8872,0,0,47.98528854994862,47.98528854994862,47.98528854994862,47.98528854994862
