config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,0.3,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,0.4,1000000,999761,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,0.5,1000000,997410,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,0.6,1000000,990092,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,0.7,1000000,977522,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,0.8,1000000,961006,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,0.9,1000000,942442,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,1.0,1000000,922580,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,1.1,1000000,901705,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,1.2,1000000,879455,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,1.3,1000000,855937,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,1.4,1000000,831230,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,1.5,1000000,805932,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,1.6,1000000,779894,0,2,0,0,2,0.0,0.0002,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,1.8,1000000,728302,0,4,0,0,4,0.0,0.0004,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,2.0,1000000,679144,0,17,0,0,17,0.0,0.0017,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,2.2,1000000,632850,0,59,0,0,59,0.0,0.0059,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,2.4,1000000,590531,0,107,0,0,107,0.0,0.0107,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,2.6,1000000,552782,0,181,0,0,181,0.0,0.0181,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,2.8,1000000,519067,0,298,0,0,298,0.0,0.0298,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,3.0,1000000,488766,0,492,0,0,492,0.0,0.0492,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,3.2,1000000,461866,0,712,0,0,712,0.0,0.0712,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,3.4,1000000,437771,0,925,0,0,925,0.0,0.0925,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,3.6,1000000,416254,0,1273,0,0,1273,0.0,0.1273,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,3.8,1000000,396959,0,1572,0,0,1572,0.0,0.1572,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,4.0,1000000,379473,0,1895,0,0,1895,0.0,0.1895,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,5.0,1000000,313375,0,3956,0,0,3956,0.0,0.3956,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,6.0,1000000,269672,0,6003,0,0,6003,0.0,0.6003,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,7.0,1000000,238911,0,7934,0,0,7934,0.0,0.7934,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,8.0,1000000,216103,0,9401,0,0,9401,0.0,0.9401,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,9.0,1000000,198593,0,10617,0,0,10617,0.0,1.0617,0.0
RMT_3954_DCC_Type1_Var1,1,1.0,0.0,10.0,10.0,1000000,184231,0,11721,0,0,11721,0.0,1.1721,0.0
