config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,1.8,100000,72870,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,2.0,100000,67959,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,2.4,100000,59093,0,1,0,0,1,0.0,0.001692247812769702,0.0,0.001692247812769702
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,2.8,100000,51853,0,1,0,0,1,0.0,0.0019285287254353653,0.0,0.0019285287254353653
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,3.2,100000,46233,0,1,0,0,1,0.0,0.0021629571950771095,0.0,0.0021629571950771095
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,3.6,100000,41674,0,4,0,0,4,0.0,0.009598310697317272,0.0,0.009598310697317272
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,3.8,100000,39752,0,7,0,0,7,0.0,0.01760917689675991,0.0,0.01760917689675991
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,4.0,100000,38013,0,9,0,0,9,0.0,0.023676110804198562,0.0,0.023676110804198562
