config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,1.8,100000,72870,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,2.0,100000,67959,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,2.4,100000,59093,1,1,1,0,0,0.001692247812769702,0.001692247812769702,0.001692247812769702,0.001692247812769702
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,2.8,100000,51853,2,2,2,0,0,0.0038570574508707306,0.0038570574508707306,0.0038570574508707306,0.0038570574508707306
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,3.2,100000,46233,8,8,8,0,0,0.017303657560616876,0.017303657560616876,0.017303657560616876,0.017303657560616876
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,3.6,100000,41674,14,14,14,0,0,0.03359408744061045,0.03359408744061045,0.03359408744061045,0.03359408744061045
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,3.8,100000,39752,21,21,21,0,0,0.052827530690279734,0.052827530690279734,0.052827530690279734,0.052827530690279734
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,4.0,100000,38013,21,21,21,0,0,0.05524425854312998,0.05524425854312998,0.05524425854312998,0.05524425854312998
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,6.0,100000,26971,108,108,108,0,0,0.400430091579845,0.400430091579845,0.400430091579845,0.400430091579845
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,8.0,100000,21713,251,251,251,0,0,1.1559894993782527,1.1559894993782527,1.1559894993782527,1.1559894993782527
RMT_3954_DCI_Type1,32,1.0,10.0,0.0,10.0,100000,18489,375,375,375,0,0,2.0282330034074314,2.0282330034074314,2.0282330034074314,2.0282330034074314
