config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,0.4,100000,99981,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,0.5,100000,99732,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,0.6,100000,98966,2,2,2,0,0,0.002,0.002,0.002
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,0.7,100000,97782,8,8,8,0,0,0.008,0.008,0.008
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,0.8,100000,96149,23,23,23,0,0,0.023,0.023,0.023
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,0.9,100000,94311,65,65,65,0,0,0.065,0.065,0.065
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,1.0,100000,92345,123,123,123,0,0,0.123,0.123,0.123
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,1.1,100000,90198,225,225,225,0,0,0.225,0.225,0.225
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,1.2,100000,88080,321,321,321,0,0,0.321,0.321,0.321
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,1.3,100000,85689,434,434,434,0,0,0.434,0.434,0.434
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,1.4,100000,83226,534,534,534,0,0,0.534,0.534,0.534
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,1.5,100000,80727,677,677,677,0,0,0.677,0.677,0.677
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,1.6,100000,78077,784,784,784,0,0,0.784,0.784,0.784
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,1.8,100000,72870,966,966,966,0,0,0.966,0.966,0.966
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,2.0,100000,67959,1129,1129,1129,0,0,1.129,1.129,1.129
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,2.2,100000,63389,1350,1350,1350,0,0,1.35,1.35,1.35
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,2.4,100000,59093,1501,1501,1501,0,0,1.501,1.501,1.501
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,2.6,100000,55261,1617,1617,1617,0,0,1.617,1.617,1.617
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,2.8,100000,51853,1728,1728,1728,0,0,1.728,1.728,1.728
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,3.0,100000,48898,1882,1882,1882,0,0,1.882,1.882,1.882
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,3.2,100000,46233,1999,1999,1999,0,0,1.999,1.999,1.999
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,3.4,100000,43879,2064,2064,2064,0,0,2.064,2.064,2.064
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,3.6,100000,41674,2160,2160,2160,0,0,2.16,2.16,2.16
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,3.8,100000,39752,2225,2225,2225,0,0,2.225,2.225,2.225
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,4.0,100000,38013,2293,2293,2293,0,0,2.293,2.293,2.293
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,5.0,100000,31319,2561,2561,2561,0,0,2.561,2.561,2.561
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,6.0,100000,26971,2837,2837,2837,0,0,2.837,2.837,2.837
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,7.0,100000,23995,3014,3014,3014,0,0,3.014,3.014,3.014
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,8.0,100000,21713,3107,3107,3107,0,0,3.107,3.107,3.107
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,9.0,100000,19905,3201,3201,3201,0,0,3.201,3.201,3.201
RMT_3954_DCI_Type1_Control,33,1.0,1.0,0.0,10.0,100000,18489,3302,3302,3302,0,0,3.302,3.302,3.302
