config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,0.3,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,0.4,1000000,999761,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,0.5,1000000,997410,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,0.6,1000000,990092,3,3,3,0,0,0.0003,0.0003,0.0003
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,0.7,1000000,977522,52,52,52,0,0,0.0052,0.0052,0.0052
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,0.8,1000000,961006,203,203,203,0,0,0.0203,0.0203,0.0203
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,0.9,1000000,942442,594,594,594,0,0,0.0594,0.0594,0.0594
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,1.0,1000000,922580,1194,1194,1194,0,0,0.1194,0.1194,0.1194
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,1.1,1000000,901705,2109,2109,2109,0,0,0.2109,0.2109,0.2109
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,1.2,1000000,879455,3121,3121,3121,0,0,0.3121,0.3121,0.3121
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,1.3,1000000,855937,4230,4230,4230,0,0,0.423,0.423,0.423
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,1.4,1000000,831230,5429,5429,5429,0,0,0.5429,0.5429,0.5429
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,1.5,1000000,805932,6634,6634,6634,0,0,0.6634,0.6634,0.6634
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,1.6,1000000,779894,7711,7711,7711,0,0,0.7711,0.7711,0.7711
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,1.8,1000000,728302,9790,9790,9790,0,0,0.979,0.979,0.979
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,2.0,1000000,679144,11699,11699,11699,0,0,1.1699,1.1699,1.1699
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,2.2,1000000,632850,13551,13551,13551,0,0,1.3551,1.3551,1.3551
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,2.4,1000000,590531,14867,14867,14867,0,0,1.4867,1.4867,1.4867
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,2.6,1000000,552782,16221,16221,16221,0,0,1.6221,1.6221,1.6221
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,2.8,1000000,519067,17314,17314,17314,0,0,1.7314,1.7314,1.7314
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,3.0,1000000,488766,18364,18364,18364,0,0,1.8364,1.8364,1.8364
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,3.2,1000000,461866,19363,19363,19363,0,0,1.9363,1.9363,1.9363
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,3.4,1000000,437771,20281,20281,20281,0,0,2.0281,2.0281,2.0281
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,3.6,1000000,416254,21213,21213,21213,0,0,2.1213,2.1213,2.1213
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,3.8,1000000,396959,21853,21853,21853,0,0,2.1853,2.1853,2.1853
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,4.0,1000000,379473,22619,22619,22619,0,0,2.2619,2.2619,2.2619
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,5.0,1000000,313375,25621,25621,25621,0,0,2.5621,2.5621,2.5621
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,6.0,1000000,269672,27896,27896,27896,0,0,2.7896,2.7896,2.7896
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,7.0,1000000,238911,29628,29628,29628,0,0,2.9628,2.9628,2.9628
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,8.0,1000000,216103,30990,30990,30990,0,0,3.099,3.099,3.099
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,9.0,1000000,198593,32027,32027,32027,0,0,3.2027,3.2027,3.2027
RMT_3954_DCI_Type1_Control,42,1.0,1.0,0.0,10.0,1000000,184231,32839,32839,32839,0,0,3.2839,3.2839,3.2839
