config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,0.4,100000,99981,46,46,0,46,0,0.046,0.046,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,0.5,100000,99732,384,384,0,384,0,0.384,0.384,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,0.6,100000,98966,1414,1414,0,1414,0,1.414,1.414,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,0.7,100000,97782,3579,3579,0,3579,0,3.579,3.579,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,0.8,100000,96149,6495,6495,0,6495,0,6.495,6.495,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,0.9,100000,94311,9648,9648,0,9648,0,9.648,9.648,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,1.0,100000,92345,13036,13036,0,13036,0,13.036,13.036,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,1.1,100000,90198,16058,16058,0,16058,0,16.058,16.058,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,1.2,100000,88080,18951,18951,0,18951,0,18.951,18.951,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,1.3,100000,85689,21270,21270,0,21270,0,21.27,21.27,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,1.4,100000,83226,23191,23191,0,23191,0,23.191,23.191,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,1.5,100000,80727,24738,24738,0,24738,0,24.738,24.738,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,1.6,100000,78077,25874,25874,0,25874,0,25.874,25.874,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,1.8,100000,72870,27526,27526,0,27526,0,27.526,27.526,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,2.0,100000,67959,28177,28177,0,28177,0,28.177,28.177,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,2.2,100000,63389,28293,28293,0,28293,0,28.293,28.293,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,2.4,100000,59093,27979,27979,0,27979,0,27.979,27.979,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,2.6,100000,55261,27448,27448,0,27448,0,27.448,27.448,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,2.8,100000,51853,26831,26831,0,26831,0,26.831,26.831,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,3.0,100000,48898,26252,26252,0,26252,0,26.252,26.252,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,3.2,100000,46233,25678,25678,0,25678,0,25.678,25.678,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,3.4,100000,43879,25036,25036,0,25036,0,25.036,25.036,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,3.6,100000,41674,24419,24419,0,24419,0,24.419,24.419,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,3.8,100000,39752,23833,23833,0,23833,0,23.833,23.833,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,4.0,100000,38013,23190,23190,0,23190,0,23.19,23.19,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,5.0,100000,31319,20539,20539,0,20539,0,20.539,20.539,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,6.0,100000,26971,18623,18623,0,18623,0,18.623,18.623,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,7.0,100000,23995,17159,17159,0,17159,0,17.159,17.159,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,8.0,100000,21713,15923,15923,0,15923,0,15.923,15.923,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,9.0,100000,19905,14821,14821,0,14821,0,14.821,14.821,0.0
RMT_3954_DCI_Type2,34,1.0,0.0,0.0,10.0,100000,18489,13949,13949,0,13949,0,13.949,13.949,0.0
