config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,0.3,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,0.4,1000000,999761,296,296,0,296,0,0.0296,0.0296,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,0.5,1000000,997410,3670,3670,0,3670,0,0.367,0.367,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,0.6,1000000,990092,14861,14861,0,14861,0,1.4861,1.4861,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,0.7,1000000,977522,35711,35711,0,35711,0,3.5711,3.5711,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,0.8,1000000,961006,63784,63784,0,63784,0,6.3784,6.3784,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,0.9,1000000,942442,95888,95888,0,95888,0,9.5888,9.5888,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,1.0,1000000,922580,128551,128551,0,128551,0,12.8551,12.8551,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,1.1,1000000,901705,160167,160167,0,160167,0,16.0167,16.0167,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,1.2,1000000,879455,187720,187720,0,187720,0,18.772,18.772,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,1.3,1000000,855937,211456,211456,0,211456,0,21.1456,21.1456,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,1.4,1000000,831230,230609,230609,0,230609,0,23.0609,23.0609,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,1.5,1000000,805932,246475,246475,0,246475,0,24.6475,24.6475,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,1.6,1000000,779894,257765,257765,0,257765,0,25.7765,25.7765,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,1.8,1000000,728302,273074,273074,0,273074,0,27.3074,27.3074,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,2.0,1000000,679144,279847,279847,0,279847,0,27.9847,27.9847,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,2.2,1000000,632850,280131,280131,0,280131,0,28.0131,28.0131,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,2.4,1000000,590531,277379,277379,0,277379,0,27.7379,27.7379,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,2.6,1000000,552782,272818,272818,0,272818,0,27.2818,27.2818,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,2.8,1000000,519067,267245,267245,0,267245,0,26.7245,26.7245,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,3.0,1000000,488766,260906,260906,0,260906,0,26.0906,26.0906,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,3.2,1000000,461866,254758,254758,0,254758,0,25.4758,25.4758,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,3.4,1000000,437771,248604,248604,0,248604,0,24.8604,24.8604,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,3.6,1000000,416254,242500,242500,0,242500,0,24.25,24.25,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,3.8,1000000,396959,236655,236655,0,236655,0,23.6655,23.6655,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,4.0,1000000,379473,230888,230888,0,230888,0,23.0888,23.0888,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,5.0,1000000,313375,206197,206197,0,206197,0,20.6197,20.6197,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,6.0,1000000,269672,186675,186675,0,186675,0,18.6675,18.6675,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,7.0,1000000,238911,170984,170984,0,170984,0,17.0984,17.0984,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,8.0,1000000,216103,158514,158514,0,158514,0,15.8514,15.8514,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,9.0,1000000,198593,148199,148199,0,148199,0,14.8199,14.8199,0.0
RMT_3954_DCI_Type2_Equal,43,1.0,0.0,0.0,10.0,1000000,184231,139099,139099,0,139099,0,13.9099,13.9099,0.0
