config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,0.6,100000,98966,1166,1166,0,1166,0,1.1781824060788553,1.1781824060788553,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,1.0,100000,92345,10476,10476,0,10476,0,11.344414965618062,11.344414965618062,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,1.4,100000,83226,18060,18060,0,18060,0,21.699949535001082,21.699949535001082,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,1.8,100000,72870,20550,20550,0,20550,0,28.200905722519554,28.200905722519554,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,2.0,100000,67959,20676,20676,0,20676,0,30.424226371782986,30.424226371782986,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,2.4,100000,59093,19768,19768,0,19768,0,33.45235476283147,33.45235476283147,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,2.8,100000,51853,18373,18373,0,18373,0,35.43285827242397,35.43285827242397,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,3.2,100000,46233,16996,16996,0,16996,0,36.76162048753055,36.76162048753055,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,3.6,100000,41674,15664,15664,0,15664,0,37.586984690694436,37.586984690694436,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,3.8,100000,39752,15046,15046,0,15046,0,37.84966794123566,37.84966794123566,0.0,0.0
RMT_3954_DCI_Type2_Limit,35,0.1,0.0,0.0,4.0,100000,38013,14461,14461,0,14461,0,38.0422487043906,38.0422487043906,0.0,0.0
