config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,0.3,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,0.4,1000000,999761,246,246,0,246,0,0.0246,0.0246,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,0.5,1000000,997410,3055,3055,0,3055,0,0.3055,0.3055,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,0.6,1000000,990092,12121,12121,0,12121,0,1.2121,1.2121,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,0.7,1000000,977522,29125,29125,0,29125,0,2.9125,2.9125,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,0.8,1000000,961006,51924,51924,0,51924,0,5.1924,5.1924,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,0.9,1000000,942442,77607,77607,0,77607,0,7.7607,7.7607,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,1.0,1000000,922580,103451,103451,0,103451,0,10.3451,10.3451,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,1.1,1000000,901705,127720,127720,0,127720,0,12.772,12.772,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,1.2,1000000,879455,148935,148935,0,148935,0,14.8935,14.8935,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,1.3,1000000,855937,166161,166161,0,166161,0,16.6161,16.6161,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,1.4,1000000,831230,179680,179680,0,179680,0,17.968,17.968,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,1.5,1000000,805932,190085,190085,0,190085,0,19.0085,19.0085,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,1.6,1000000,779894,197112,197112,0,197112,0,19.7112,19.7112,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,1.8,1000000,728302,204658,204658,0,204658,0,20.4658,20.4658,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,2.0,1000000,679144,206179,206179,0,206179,0,20.6179,20.6179,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,2.2,1000000,632850,202750,202750,0,202750,0,20.275,20.275,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,2.4,1000000,590531,196918,196918,0,196918,0,19.6918,19.6918,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,2.6,1000000,552782,189978,189978,0,189978,0,18.9978,18.9978,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,2.8,1000000,519067,182786,182786,0,182786,0,18.2786,18.2786,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,3.0,1000000,488766,175259,175259,0,175259,0,17.5259,17.5259,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,3.2,1000000,461866,168346,168346,0,168346,0,16.8346,16.8346,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,3.4,1000000,437771,161462,161462,0,161462,0,16.1462,16.1462,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,3.6,1000000,416254,154980,154980,0,154980,0,15.498,15.498,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,3.8,1000000,396959,148718,148718,0,148718,0,14.8718,14.8718,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,4.0,1000000,379473,143081,143081,0,143081,0,14.3081,14.3081,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,5.0,1000000,313375,119549,119549,0,119549,0,11.9549,11.9549,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,6.0,1000000,269672,102171,102171,0,102171,0,10.2171,10.2171,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,7.0,1000000,238911,89147,89147,0,89147,0,8.9147,8.9147,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,8.0,1000000,216103,79179,79179,0,79179,0,7.9179,7.9179,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,9.0,1000000,198593,71536,71536,0,71536,0,7.1536,7.1536,0.0
RMT_3954_DCI_Type2_Unequal1,44,0.1,0.0,0.0,10.0,1000000,184231,65116,65116,0,65116,0,6.5116,6.5116,0.0
