config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,1.8,100000,72870,0,1,0,0,1,0.0,0.0013723068478111707,0.0,0.0013723068478111707
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,2.0,100000,67959,0,12,0,0,12,0.0,0.017657705381185714,0.0,0.017657705381185714
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,2.4,100000,59093,0,51,0,0,51,0.0,0.0863046384512548,0.0,0.0863046384512548
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,2.8,100000,51853,0,93,0,0,93,0.0,0.179353171465489,0.0,0.179353171465489
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,3.2,100000,46233,0,205,0,0,205,0.0,0.44340622499080745,0.0,0.44340622499080745
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,3.6,100000,41674,0,358,0,0,358,0.0,0.8590488074098959,0.0,0.8590488074098959
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,3.8,100000,39752,0,435,0,0,435,0.0,1.0942845642986516,0.0,1.0942845642986516
RMT_3954_ICD_Type2_Limit,41,0.0,0.0,0.1,4.0,100000,38013,0,506,0,0,506,0.0,1.331123562991608,0.0,1.331123562991608
