config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
DCI_Type2,13,"{'dU': 1.0, 'dV': 0.0, 'dW': 0.0}",500000,484620,475425,5804,5804,0,5804,0,1.2208024399221749,1.2208024399221749,0.0,0.0
CDD_Type2,4,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
CCD_Type2,7,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
DCC_Type3,2,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,3291,3291,0,3291,0,0.6922227480675185,0.6922227480675185,0.0,0.0
DCI_Type3,14,"{'dU': 0.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,3219,3435,0,3239,196,0.6770784035336804,0.7225114371351948,0.0,0.041226271231003836
CDD_Type3,5,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,384,386,215,171,0,0.08076983751380344,0.0811905137508545,0.045222695482988906,0.045222695482988906
CCD_Type3,8,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,384,386,215,171,0,0.08076983751380344,0.0811905137508545,0.045222695482988906,0.045222695482988906
DCD_Type3,11,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,384,386,215,171,0,0.08076983751380344,0.0811905137508545,0.045222695482988906,0.045222695482988906
DCC_Type2,1,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",500000,484620,475425,384,386,215,171,0,0.08076983751380344,0.0811905137508545,0.045222695482988906,0.045222695482988906
DCI_Type1,12,"{'dU': 1.0, 'dV': 10.0, 'dW': 0.0}",500000,484620,475425,208,219,43,170,6,0.043750328653310196,0.04606404795709102,0.00904453909659778,0.010306567807750959
CDD_Type1,3,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",500000,484620,475425,82,96,96,0,0,0.017247725719093443,0.02019245937845086,0.02019245937845086,0.02019245937845086
DCC_Type1,0,"{'dU': 1.0, 'dV': 10.0, 'dW': 10.0}",500000,484620,475425,41,47,47,0,0,0.008623862859546721,0.0098858915706999,0.0098858915706999,0.0098858915706999
DCD_Type1,9,"{'dU': 1.0, 'dV': 10.0, 'dW': 1.0}",500000,484620,475425,35,41,40,0,1,0.0073618341483935425,0.008623862859546721,0.008413524741021191,0.008623862859546721
CCD_Type1,6,"{'dU': 10.0, 'dV': 10.0, 'dW': 1.0}",500000,484620,475425,13,20,20,0,0,0.0027343955408318872,0.0042067623705105955,0.0042067623705105955,0.0042067623705105955
DCD_Type2,10,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",500000,484620,475425,5,5,5,0,0,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489,0.0010516905926276489
